(it) feels so good,"Something cool went down as I was walking with a fried of mine. And I still remember how she was smelling like the summertime. And oohh... how it changed my mind. Changed everything, about that. Come on girl. It feels so good loving you yea. It's so good the way you do the do. It feels so good and I need oxygen. little bit of heaven doin' 24-7 again. Yea, again and again. Like I was saing my little cupid was real super freak. By the time that I came down I'll get locked in a room for a week. Uhhh... how she changed my mind. Changed everything about this crazy world. It feels so good loving you yea. It's so good the way you do the do. It feels so good and by the way. little bit of heaven doin' 24-7 again. Yea, again and again. A long hair. A Double Dare. And I swear. little bit will do you some good. You say where. I'm goin' there. And I swear. Can't get enough of you... yeah, yeah. Ma bonsoir. Excuse moi. Ya u-la-a. It's doing to me good... yeah, yeah, yeah. Uh yeeeaaa It feels so good loving you yea. It's so good the way you do the do. It feels so good and I need oxygen. little bit of heaven doin' 24-7 again. It feels so good loving you yea. It's so good the way you do the do. It feels so good loving you. It feels so good and I need oxygen. Yeah, yeah. Yeah, yeah. Yeah, yeah, yeah, yeah"
gypsy girl,"I remember the leaves were gone. And burning embers make for the sweetest songs. Yeah I can see the two of us living on dreams and dust. Loving you was so unreal that I remember. [Chorus:]. She was just a gypsy girl. I was just a chance I wish she'd take. Got into a lonely world, trying to belong. Love is like a string of pearls. While I was waiting for the strand to break. From a thousand miles away. Somehow we made it home. Ahh ahh ahh ahh ahh. Just a thousand miles away. Ahh ahh ahh ahh ahh. Wayward travelers' stars get crossed. Find out only after we were never lost. I can see the two of us living on dreams and dust. Loving you was so unreal that I remember. [Chorus. She was just a gypsy girl. I was just a chance I wish she'd take. Got into a lonely world, trying to belong. Love is like a string of pearls. While I was waiting for the strand to break. From a thousand miles away. Somehow we made it home. Ahh ahh ahh ahh ahh. Just a thousand miles away. Ahh ahh ahh ahh ahh. Just a thousand miles away. Ahh ahh ahh ahh ahh. From just a thousand miles away. Ahh ahh ahh ahh ahh. From just a thousand miles away. [Chorus]. She was just a gypsy girl. I was just a chance I wish she'd take. Got into a lonely world, trying to belong. Love is like a string of pearls. While I was waiting for the strand to break. From a thousand miles away. Somehow we made it home. Ahh ahh ahh ahh ahh. Just a thousand miles away. Ahh ahh ahh ahh ahh. Just a thousand miles away. Ahh ahh ahh ahh ahh. Just a thousand miles away. Ahh ahh ahh ahh ahh. Just a thousand miles away. Just a thousand miles away"
i love trash,"Hey, do you want to talk some trash?. Whoaaa yeah. Oh, I love trash. Anything dirty or dingy or dusty. Anything ragged or rotten or rusty. Yeah, I love trash. Yeah!. I got me a sneaker that's tattered and worn. It's all full of holes and the laces are torn. A gift from my mama the day I was born. I love it because it's trash. Oh, I love trash. Anything dirty or dingy or dusty. Anything ragged or rotten or rusty. Yeah, I dig trash. I got me a newspaper thirteen months old. I've wrapped up a fish. And it's smelly and cold. But I wouldn't trade it for a big pot of gold. I love it because it's trash. I love it because it's trash. Whoa! Yeah!. I've got a clock that won't work. And an ol' microphone. A broken umbrella and a rusty trombone. And I'm delighted to call them my own. I love them... because they're... trash. Yeah!. Oh, I love trash. Anything dirty or dingy or dusty. Anything ragged or rotten or rusty. Yeah, I love.... I love trash. Anything dirty (Dirty!). Or dingy (Dingy!). Or dusty (Dusty!). Anything ragged (Ragged!). Or rotten (Rotten!). Or rusty (Rusty!). Yeah, I love. Yeah, I love. Trash!. Hea ha ha ha... Who, me? Forget about it!"
i make my own sunshine,"Everything is wonderful. Everything is great. Free as a bird singing. outside my window pane. Got a fresh new start. It's a brand new day. And I got lots of love to give away. It don't matter if it's raining. Nothing can phase me. I make my own sunshine. And if you think you can break me. Baby you're crazy. I make my own sunshine. Hey, let's make a rainbow. Look for the pot o' gold. I'll show you how to keep it nice and easy. Even if a cloud starts forming. on my lovely day. There's nothing, no nothing. that could stand in my way. It don't matter if it's raining. Nothing can phase me. I make my own sunshine. And if you think you can break me. Baby you're crazy. I make my own sunshine"
it ain't easy,"It's a lonely street I walk. And my soul is all warned off. Here comes the fear. When you're out here on your own. And everything you loved is gone. Oh no, not me, not meant to be. It ain't easy. When you're out there searchin'. Tryin' to find the one. Yeah it ain't easy. Lookin' for the hand that holds the smokin' gun. It's like tryin' to squeeze a drop of rain. Out of the sun, ooh. Even if I could let go. Of this high wire circus show. I'm at fault, all the way. Yeah, you're still gonna hear me say. It ain't easy. When you're out there searchin'. Tryin' to find the one. Yeah it ain't easy. Lookin' for the hand that holds the smokin' gun. It's like tryin' to squeeze a drop of rain. Out of the sun, ooh. I hear everybody sayin' that it's true. When you stop lookin' for it, it finds you. But it ain't easy, it ain't easy. It ain't easy. When you're out there searchin'. Tryin' to find the one. Yeah, it ain't easy. Lookin' for the hand that holds the smokin' gun. It's like tryin' to squeeze a drop of rain. Out of the sun. It ain't easy. I could say it is but when it's said and done. It ain't easy for no one"
janie's got a gun,"Janie's got a gun. Janie's got a gun. Whole world's come undone. Lookin' straight at the sun. What did her daddy do. What did he put you through. They say when janie was arrested. They found him underneath a train. But man he had it comin'. Now that janie's got a gun. She ain't never gonna be the same. Janie's got a gun. Janie's got a gun. Dog days just begun. Now everybody is on the run. Tell me now it's untrue. What did her daddy do. He jacked a little bitty baby. The man has got to be insane. They say the spell that he was under. The lightning and the thunder. Knew that someone had to stop the rain. Run away, run away from the pain. Run away, run away from the pain. Run away... run away. Run... run away. Janie's got a gun. Janie's got a gun. Dog days just begun. Now everybody is on the run. What did her daddy do. It's janie's last y - o - u. She had to take him down easy. And put a bullet in his brain (she left him in the pouring rain). She said 'cause nobody believes me. The man was such a sleaze. He ain't never gonna be the same. Run away, run away from the pain. Run away, run away from the pain. Run away... run away. Run... run away. Janie's got a gun. Janie's got a gun. Janie's got a gun. Now everybody is on the run. Janie got a gun. Dog days just begun. Now everybody is on the run (honey honey, what's the problem). Janie's got a gun (tell me it ain't right). Janie's got a gun (was it your daddy's cradle-robbin' that). Dog days just begun (made you scream at night). Now everybody is on the run. Janie's got a gun"
just feel better,"She said I feel stranded. And I can't tell anymore. If I'm coming or I'm going. It's not how I planned it. I've got a key to the door. But it just won't open. And I know, I know, I know. Part of me says let it go. That life happens for a reason. I don't, I don't, I don't. Because it never worked before. But this time, this time. I'm gonna try anything to just feel better. Tell me what to do. You know I can't see through the haze around me. And I do anything to just feel better. And I can't find my way. Girl I need a change. And I do anything to just feel better. Any little thing that just feel better. She said I need you to hold me. I'm a little far from the shore. And I'm afraid of sinking. You're the only one who knows me. And who doesn't ignore. That my soul is weeping. I know, I know, I know. Part of me says let it go. Everything must have a season. Round and round it goes. And every day's the one before. But this time, this time. I'm gonna try anything that just feels better. Tell me what to do. You know I can't see through the haze around me. And I do anything to just feel better. I can't find my way. God I need a change. And I'd do anything to just feel better. Any little thing that just feel better. I'm tired of holding on. To all the things I ought to leave behind, yeah. It's really getting old, and. I think I need a little help this time!. Yeah. I'm gonna try anything to just feel better. Tell me what to do. You know I can't see through the haze around me. And I do anything to just feel better. And I can't find my way. God I need a change. And I do anything to just feel better. Any little thing that just feel better"
love is your name,"Send your kisses my way. Bring your sweet heart to me. I've been waiting for so long. Tell me all your stories. Leave some open for me. Write your name into this song. I'll walk through the fire. I'll run through the rain. I'll wait for forever. If love is your name. Your name. Catch a wind from heaven. Sail down while I'm sleeping. Wake me with the morning sun. Oh, oh- oh. I'll dream of you until you come. I'll walk through the fire. I'll run through the rain. I'll wait for forever. If love is your name. Valentines keep knocking. My heart keeps on walking. Darling I'll hold on for you. For you, for you. I'll walk through the fire. I'll run through the rain. I'll wait for forever. If love is your name. If love is your name. If love is your name"
love lives,"I looked at you, you looked at me,. I knew it then, but you couldn't see it,. And now you've come around.. I walk away, you stay behind,. But I've got the memories to remind me,. Of how you used to.... Hold me so tight, be by my side,. And make it alright.... Love gives, and love takes,. Yeah it'll keep you up in the middle of night. And catch you when you're falling. Love is, what love makes,. If you let it go it'll always come back,. When it hears you calling,. LOVE LIVES.... I know you're there, you always were,. There'll be an end to all this hurting,. But how many tears will fall?. Before you're back into my arms. So I can tell you I've been dying. Without you.... Too many nights, are passing us by,. But we'll make it by, yeah... Love gives, and love takes,. Yeah it'll keep you up in the middle of night. And catch you when you're falling. Love is, what love makes,. If you let it go it'll always come back,. When it hears you calling.. Love lifts you up and lets you fly. And makes you think you'll never die,. And it's just like livin' in heaven. And you'll never ever wanna come down.... 'Cause love is, what love makes,. And true love, never breaks.. 'Cause Love gives, and love takes,. It'll keep you up in the middle of night,. And catch you when you're falling. Love is, what love makes,. If you let it go it'll always come back,. When it hears you.... Love gives, and love takes,. Yeah it'll keep you up in the middle of night.. And catch you when you're falling. Love is, what love makes,. Yeah if you let it go it'll always come back,. When it hears you calling,. LOVE LIVES.... LOVE LIVES..."
my own worst enemy,I can blame Jesus. I can blame mama. I can blame Brahma. For all the bullets in my head. I can blame Seagrams. For all the whiksy. For the tipsy. That is still here on my breath. And ain't that Why you left. I'm all alone tongue-tied and twisted. Since I said it ain't you it's me. And girl you cried but I insisted. That what could be would never be. But I was wrong. What is wrong whith me?. I am my own worst enemy. I can blame midnight. For bad decisions. Blurry vision. For what a didn't see. I can blame forever. even though I'll never get it. I can blame your love. even though I often left it. I can blame goodbye. even though I said it. And maybe it was just me. That's why you you have to leave. I'm all alone tongue-tied and twisted. Since I said it ain't you it's me. And girl you cried but I insisted. That what could be would never be. But I was wrong. What is wrong whith me?. And now you're gone. And any fool can see. I am my own worst enemy
only heaven,"You're more than a miracle. An answer to a prayer. You heal the broken heart. In need of much repair. Only heaven could've laid you in my arms. Only heaven could've brought us where we are. Girl, it's heaven when I'm lying in your bed. Cause nothing compares to the taste of your lips. Only heaven could ever feel like this. Only heaven. I was down the dusty road. The end nowhere in sight. And I've been dying in the dark. Now I'm living in your light. And you know it feels so right. Only heaven could've laid you in my arms. Only heaven could've brought us where we are. Girl, it's heaven when I'm lying in your bed. Cause nothing compares to the taste of your lips. Only heaven could ever feel like this. Only heaven. Yeah, it ain't nothing but a good thing baby. And there ain't no wonderin' why. Only heaven could've laid you in my arms. Only heaven could've brought us where we are. Girl, it's heaven when I'm lying in your bed. Cause nothing compares to the taste of your lips. Only heaven could ever feel like this. Only heaven. Only heaven. Yeah... yeah! Only heaven. Only heaven"
piece of my heart (feat. the loving mary band),"Oh, come on, come on, come on, come on!. Didn't I make you feel. like you were the only one? yeah!. An' didn't I give you nearly everything. that a man possibly could?. Honey, you know I did!. And each time I tell myself that I. well I think I've had enough. But I'm gonna show you, baby. How a man can be tough. I want you to come on, come on, come on. come on and take it. Take it!. Take another little piece of my heart now, baby!. Oh, oh, break it!. Break another little bit of my heart now. darling, yeah, yeah, yeah. Oh, oh, have a!. Have another little piece of my heart now, baby. You know you got it. if it makes you feel good. Oh, yes indeed. Oh, yes indeed. You're out on the streets looking good. And baby deep down in your heart. I guess you know that it ain't right. Never, never, never, hear me when I cry at night. Babe, and I cry all the time!. But each time I tell myself that I. well I can't stand the pain. But when you hold me in your arms. baby I'll sing it once again. I'll say come on, come on, come on, come on a. And take it!. Take another little piece of my heart now, baby. Oh, oh, break it!. Break another little bit of my heart now, darling, yeah. Oh, oh, have a!. Have another little piece of my heart now, baby. You know you got it, child. if it makes you feel good. Come on, come on, come on. come on and take it. Take another little piece of my heart now, baby!. Oh, oh, break it!. Break another little bit of my heart. now baby, baby, baby. Oh, oh, have a. Have another little piece of my heart now, baby. You know you got it whoahh!. Take it!. Take another little piece of my heart now, baby. Oh, oh, break it!. Break another little bit of my heart, now bay bay. Oh, oh, have a. Have another little piece of my heart now, baby, hey. You know you got it. if it makes you feel good!"
"red, white & you","Right now, nothing else matters. You and me and the Georgia night. Look around cause it don't get any better. Have you ever felt so alright?. Let's dance, take it slow. Tom Petty on the radio. And we're singing 'bout American girls like you. When I look in your eyes, all I want to do is. Bang bang, baby, like the 4th of July. A lightning strike in the midnight sky. Don't give a damn about the summertime blues. All I need is red, white and you. Can't let those colors fade. Tell me you're gonna stay. American girls making dreams come true. All I need is red, white and. You pulling me a little bit closer. Heart beating like a big bass drum. We spinning on a roller coaster. Free falling into your young mode. All the bad girls rocking in cut-off jeans. And good ol' boys driving big machines. And you can kiss my ass, can't help but say. It's good to be born in the USA. Bang bang, baby, like the 4th of July. A lightning strike in the midnight sky. Don't give a damn about the summertime blues. All I need is red, white and you. Can't let those colors fade. Tell me you're gonna stay. American girls making dreams come true. All I need is red, white and you. Baby, sweet potato pie. All I need is red, white and. Baby, what we gonna do. And honey, don't give a damn about the summertime blues. All I need is. Bang bang, baby, like the 4th of July. A lightning strike in the midnight sky. Don't give a damn about the summertime blues. All I need is red, white and you. Can't let those colors fade. Tell me you're gonna stay. American girls making dreams come true. All I need is red, white and you. Baby, baby, all I need is red, white and you. Don't give a damn about the summertime blues. All I need is red, white and you"
rockin' on top of the world,One... Two.... One... Two... Three... Four.... Rockin' on top of the world. Rockin' on top of the world. The place is hoppin'... there ain't no stoppin'. Rockin' on top of the world. And if your spirits swing that girl. Rockin' on top of the world tonight. Rockin' on top of the world. Rockin' on top of the world. The place hoppin'... there ain't no stoppin'. Rockin' on top of the world. And if your spirits swing that girl. Rockin' on top of the world tonight... yeah. C'mon show me... woo... woo... yak yak.... Up here where it's freezin'... everybody needs some heat. No more ringy dingy. Time to get up on your feet... yeah. Up on my feet. Rockin' on top of the world. Rockin' on top of the world. The place is hoppin'... there ain't no stoppin'. Rockin' on top of the world. Blow your horn and swing that girl. Rockin' on top of the world tonight... yeah. A duby duby duby yeah.... Up here where it's freezin'... everybody needs some heat. No more ringy dingy. Time to get up on your feet... aah yeah. Get up on my feet. Rockin' on top of the world. Rockin' on top of the world. The place is hoppin'... there ain't no stoppin'. Rockin' on top of the world. Blow your horn and swing that girl. Rockin' on top of the world tonight. Rockin' on top of the world. Rockin' on top of the world. The place is hoppin'... there ain't no stoppin'. Rockin' on top of the world. Blow your horn and swing that girl. Rockin' on top of the world tonight... yeah. Duby duby duby duby..
skin city (robert rodriguez feat. steven tyler),"Going to the back. Is only skin city. Dancing through the dark. You know you rage rage. Glowing in the dark. You're sou pretty pretty. Never going back. No matter what what what. Pretty is the only life you know. Thanks your face. You're just a hard of way. But even I, even I know. You're never gonna stay this way. One spin and the spine row down. A death wish is to leave this town. Going in blind. Cuz you loose your mind. Then you're going on and on. And on and on. Rolling in the back. You know the skin citty. More in the back. Cuz you know it's reck reck. Glowing in the dark. You're sou pretty pretty. Never going back. No matter what what what. Going to the back. Is only skin city. Dancing through the dark. You know you rage rage. Glowing in the dark. You're sou pretty pretty. Never going back. No matter what what what. Baby when you look in the mirror. Pretty when you hit. Get it on the stage. In your head there's a trigger. And it's gonna blow us all away. One drink and your spine row down. It's all lost. And you can't be found. Fever leaves blind. You loose your mind. Then you're going on and on. And on and on"
smile,Smile though your heart is aching. Smile even though it's breaking. When there are clouds in the sky you'll get by. If you smile through your fears and sorrow. Smile and maybe tomorrow. You'll see the sun come shining through for you. Light up your face with gladness. Hide every trace of sadness. Although a tear may be ever so near. That's the time you must keep on trying. Smile what's the use of crying?. You'll find that life is still worth while yeah. If you just smile. That's the time you must keep on trying. Smile what's the use of crying?. You'll find that life is still worthwhile. If you just Smile...
