wouldn't change a thing,"It's like. He doesn't hear a word I say. His mind is somewhere far away. And I don't know how to get there. It's like. (She's way too serious). All he wants is to chill out. (She's always in a rush). He makes me wanna pull all my hair out. ( and interrupted). Like he doesn't even care. (Like she doesn't even care). You,. (Me). We're face to face. But we don't see eye to eye. Like fire and rain. (Like fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. She's always trying to save the day. Just wanna let my music play. She's all or nothing. But my feelings never change. Why, does he try to read my mind. (I try to read her mind). It's not good to psychoanalyze. (She tries to pick a fight to get attetion). That's what all of my friends say. You,. (Me). We're face to face. But we don't see eye to eye. Like fire and rain. (Fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. When I'm YES she's NO. When I hold on he just let's go. We're perfectly imperfect. But I wouldn't change a thing. Like fire and rain!. (Fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a, wouldn't change a thing"
you're my favorite song,"Words don't come easy. Without a melody. I'm always thinking. In terms of do-re-me. I should be hiking, swimming. Laughing with you. Instead I'm all out of tune. But what you don't know. You lift me off the ground. You're inspiration. You helped me find myself. Just like a baseline. A half-time. You hold down the groove. That's why I'm counting on you. And if I heard you on the radio. I'd never wanna change. a single note. It's what I tried to say. all along. You're my favorite song. I'm in a session writing tracks. You've got another class. to teach. And then rehearsal with a band. You're always one step. out of reach. I'm looking for some harmony. With you it comes so naturally. You helped me find the right key. And when I hear you on the radio. I'd never wanna change. a single note. It's what I tried to say. all along. You're my favorite song. And when I hear you on the radio. I'd never wanna change. a single note. It's what I tried to say. all along. You're my favorite song. You're my favorite song"
this is me,"I've always been the kind of girl. That hid my face. So afraid to tell the world what I've got to say. But I have this dream right inside of me. I'm gonna let it show. It's time. To let you know,. To let you know. This is real, this is me. I'm exactly where I'm supposed to be now. Gonna let the light shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. This is me. Do you know what its like. to feel so in the dark. To dream about a life where you're the shining star. Even though it seems. Like is too far away. I have to believe in myself, its the only way. This is real, this is me. I'm exactly where I'm supposed to be now. Gonna the light shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. This is me. You're the voice I hear inside my head. The reason that I'm singing. I need to find you, I gotta find you. You're the missing piece I need. the song inside on me. I need to find you (I need to find you). I gotta find you (I gotta find you). This is real, this is me. I'm exactly where I'm supposed to be now. Gonna let the light shine on me. Now I've found, who I am. There's no way to hold it in. No more hiding who I wanna be. You're the missing piece I need (This is me). the song inside on me. You're the voice I hear inside my head (This is me). The reason that I'm singing( Yeah). And I've found Who I am. There's no way to hold it in. No more hiding who I wanna be. This is me"
introducing me,"I'm good at wasting time,. I think lyrics need to rhyme,. And you're not asking,. But I'm trying to grow a mustache. I eat cheese,. But only on pizza, please,. And sometimes on a homemade quesadilla. Otherwise it smells like feet to me. And I, I really like it. When the moon looks like a toenail. And I love it when you say my name. If you wanna know, here it goes, gonna tell you there's a. part of me that shows,. If we're close gonna let you see,. Everything. But remember that you asked for it. I'm trying to do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain,. My heart,. Well you asked for it. For your perusing,. At times confusing,. Slightly amusing,. Introducing Me. do-do do-do-do-do-do. do-do do-do-do-do-do. la-da-da-da la-da-da-da-da-da-da-da-da. I never trust a dog to watch my food. And I like to use the word ""dude"". as a noun or an adverb or an adjective. And I, I've never really been into cars. I like really cool guitars and superheroes. And checks with lots of zeros on them. I love the sound of violins and making someone smile. If you wanna know, here it goes, gonna tell you there's a. part of me that shows,. If we're close gonna let you see,. Everything. But remember that you asked for it. I'm trying to do my best to impress. But it's easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain,. My heart,. Well you asked for it. For your perusing,. At times confusing,. Possibly amusing,. Introducing me. Well, you probably know more than you ever wanted to. So be careful when you ask next time.. So, if you wanna know, here it goes, gonna tell you there's a. part of me that shows,. If we're close gonna let you see,. Everything. But remember that you asked for it. I'm trying to do my best to impress. But its easier to let you. Take a guess at the rest. But you wanna hear what lives in my brain,. My heart,. Well you asked for it. For your perusing,. At times confusing,. hopefully amusing,. Introducing me. do-do do-do-do-do-do. do-do do-do-do-do-do. Introducing me"
gotta find you,"Everytime I think I'm closer to the heart. Of what it means to know just who I am. I think I've finally found a better place to start. But no one ever seems to understand. I need to try to get to where you are. Could it be you're not that far. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. Oh yeah. Yeah, yeah. You're the remedy I'm searching hard to find. To fix the puzzle that I see inside. Painting all my dreams, the color of your smile. When I find you it will be alright. I need to try to get to where you are. Could it be you're not that far. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. Being feeling lost, can't find the words to say. Spending all my time, stuck in yesterday. Where you are is where I wanna be. Oh, next to you. You next to me. Oh, I need to find you. Yeah. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. You're the voice I hear inside my head. The reason that I'm singing. I need to find you. I gotta find you. You're the missing piece I need. The song inside of me. I need to find you. I gotta find you. Yeah, yeah. I gotta find you"
wouldn't change a thing,"It's like. He doesn't hear a word I say. His mind is somewhere far away. And I don't know how to get there. It's like. (She's way too serious). All he wants is to chill out. (She's always in a rush). He makes me wanna pull all my hair out. ( and interrupted). Like he doesn't even care. (Like she doesn't even care). You,. (Me). We're face to face. But we don't see eye to eye. Like fire and rain. (Like fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. She's always trying to save the day. Just wanna let my music play. She's all or nothing. But my feelings never change. Why, does he try to read my mind. (I try to read her mind). It's not good to psychoanalyze. (She tries to pick a fight to get attetion). That's what all of my friends say. You,. (Me). We're face to face. But we don't see eye to eye. Like fire and rain. (Fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. When I'm YES she's NO. When I hold on he just let's go. We're perfectly imperfect. But I wouldn't change a thing. Like fire and rain!. (Fire and rain). You can drive me insane. (You can drive me insane). But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a thing. But I can't stay mad at you for anything. We're Venus and Mars. (Venus and Mars). We're like different stars. (Like different stars). You're the harmony to every song I sing. And I wouldn't change a, wouldn't change a thing"
we rock,"Cause we rock. We rock. We rock on. We rock. We rock on. Come as you are. You're a superstar. World's in your pocket. And you know it. You can feel that beat. Running through your feet. Heart's racing fast. You're rock and rolling. All that you need is the music. To take you to some other place. Where you know you belong. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. (We rock, we rock, we rock on). (We rock, we rock, we rock on). We're finally letting go. Losing all control. Won't stop ourselves. 'Cause we love it. We're not afraid to be. Everything you see. No more hiding out. We're gonna own it. All that you need is the music. To take you to some other place. Where you know you belong. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. Got the music in our souls. And it's the thing we want the most. It's picks us up when we fall down. And turns our world around. (Camp Rock). We rock, we rock on. Every day and every night.... 'Cause we rock (camp rock). We rock, we rock on. It's all we wanna do in life. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. Raise your hands up in the air and scream. We're finding our voice, following our dreams.. 'Cause we rock, we rock, we rock, we rock on. Nobody in the world's gonna bring us down. The louder we go, well the better we sound.. 'Cause we rock, we rock, we rock, we rock on. We rock, we rock. We rock on. We rock, we rock. Camp rock!"
it's on,"Drums. A little guitar please. One two three four. I hope you're ready for the time of your life. Just look at me. I put a gleam in your eye. Buckle up. We're gonna take you for a ride. Let's go. We got you going. Get in the vibe. Everybody put your hands to the sky. Buckle up. We're gonna take you take you high. Show me show me show me show me show what you got. Come on come on come on come on ready or not. La-la-la-la-la let me see how you rock. It's on, it's on, it's on!. Get crazy crazy crazy; take it over the top. 'Cause we 'cause we. 'cause when we rock we let it rock. Rock it rock it rock it; dance till we drop. It's on, it's on, it's on!. Okay now are you ready?. One two. One two three four. Showstoppin' when I step in the place. Before it's done you're gonna beg me to stay. Get on board. Come on; let's ride the wave. Let's go let's go. We just do what we do. Watch me break and pop. I'll blast it for you. You wanna rock like us?. 'Cause we're never second place. (You ready?). Show me show me show me show me show what you got. Come on come on come on come on ready or not. La-la-la-la-la let me see how you rock. It's on, it's on, it's on!. Get crazy crazy crazy; take it over the top. 'Cause we 'cause we. 'cause when we rock we let it rock. Rock it rock it rock it; dance till we drop. It's on, it's on, it's on!. Okay now are you ready?. Come on. One two. One two three. The-the-the-there is no competition. That's why we're in the number one position. Your crew can't hang with us. Man we're too dangerous. Ain't got the style or the stamina. Just doin' my thing. Get hooked on my swing. Rockin' the place droppin' the bass. Makin' all the girls sing. Yeah we make the bells ring. (It's on it's on). Drums. Yeah. A little guitar please. One two three four. Show me show me show me show me show what you got. Come on come on come on come on ready or not. La-la-la-la-la let me see how you rock. It's on, it's on, it's on!. Get crazy crazy crazy; take it over the top. 'Cause we 'cause we. 'cause when we rock we let it rock. Rock it rock it rock it; dance till we drop. It's on, it's on, it's on!. Show me show me show me show me show what you got. Come on come on come on come on ready or not. La-la-la-la-la let me see how you rock. It's on, it's on, it's on! (crazy). Get crazy crazy crazy; take it over the top. 'Cause we 'cause we. 'cause when we rock we let it rock. Rock it rock it rock it; dance till we drop. It's on, it's on, it's on!. One two. One two three four. It's on!"
you're my favorite song,"Words don't come easy. Without a melody. I'm always thinking. In terms of do-re-me. I should be hiking, swimming. Laughing with you. Instead I'm all out of tune. But what you don't know. You lift me off the ground. You're inspiration. You helped me find myself. Just like a baseline. A half-time. You hold down the groove. That's why I'm counting on you. And if I heard you on the radio. I'd never wanna change. a single note. It's what I tried to say. all along. You're my favorite song. I'm in a session writing tracks. You've got another class. to teach. And then rehearsal with a band. You're always one step. out of reach. I'm looking for some harmony. With you it comes so naturally. You helped me find the right key. And when I hear you on the radio. I'd never wanna change. a single note. It's what I tried to say. all along. You're my favorite song. And when I hear you on the radio. I'd never wanna change. a single note. It's what I tried to say. all along. You're my favorite song. You're my favorite song"
can't back down,"We can't, we can't back down. We can't, we can't back down. We can't, we can't back down. We can't, we can't back down. Not right now. We can't back down. Not right now. We can't back down. We can't back down. Ohhhhh yeah. Don't close your eyes. We're all in this together. Whatever. They draw the line. Weren't gonna straddle across it. Or lose it. We can't back down. There's too much at stake. This is serious. Don't walk away. We can't pretend it's not happening. In our own backyard. I wanna play. We can't call out. Do you hear your name?. I'm not confused. Let's win this thing. We can't back down. There's too much at stake. Don't walk away (x2). Don't get me wrong. I don't like confrontation. I rather we all just get along. Music should be undivided, united. We can't back down. There's too much at stake. This is serious. Don't walk away. We can't pretend it's not happening. In our own backyard. I wanna play. We can't call out. Do you hear your name?. I'm not confused. Let's win this thing. We can't back down. There's too much at stake. Don't walk away (x2). Don't Walk away. We got a situation. That we can't ignore. 'Cause ignorance is not this. We don't have to take this. With everything in this decision. Comes with an equal share of love. We got to take this. We can't back down. There's too much a stake. This is serious. Don't walk away. We can't pretend it's not happening. In our own backyard. I wanna play. We can't call out. Do you hear your name?. I'm not confused. Let's win this thing. We can't back down. There's too much at stake. Don't walk away (x2). We can't back down. We can't back down. Not right now. We can't back down"
brand new day,"Last year is old news. I'm breaking out my six string. And playing from my heart. It's not deja vu. Cause it's another summer. That's how this chapter starts. I'm gonna run so fast till I can't breathe. Come along and follow me. Let's make some noise we never did before. It's a brand new day. Don't you see me. Changing up my way. So completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day, and I'm feeling good. And I'm feeling good. So drama free. I'm all about the music I just wanna sing. Watch me leave out my dreams. I'm gonna rock that stage and get my everything. I'm gonna dance until my feet can't move. Come along get in the groove. Let's shine so bright what can we did before. It's a brand new day. Don't you see me?. Changing up my way. So completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day, and I'm feeling good. (what are you gonna do? what are you gonna do?). I'm gonna laugh through the summer with you.. (who you are gonna be? who you are gonna be?). You'll just have to watch me carefully. (Where you wanna go? where you wanna go?). Anywhere my heart wants me to go. I'm gonna sing, I'm gonna dance. I'm gonna ride, I'm gonna play. I'm gonna try my hand in everything. Cause it's a brand new day. Don't you see me. Changing up my way. So completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day. It's a brand new day. Don't you see it?. Changing up my way so completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day. (It's a brand new day). It's a brand new day. And I'm feeling good. (Feeling good). And I'm feeling good!"
this is our song,"So let's sing na, na, na, na, na, heya. c'mon let's sing na, na, na, na, na, heya. This is our song. That's all that matters. cause we all belong right here together. There's nothing better than singing along. This is our summer. This is our song. Grab your guitar. Sit by the fire. cause we all need a song. when we're getting tired. we'll sit here together and sing it out loud (sing it out loud). This is our song. That's all that matters. cause we all belong right here together. There's nothing better than singing along. This is our summer. This is our song. This is our song. This is our song. This is our song. c'mon let's sing na, na, na, na, na, heya. c'mon let's sing na, na, na, na, na, heya. c'mon let's sing na, na, na, na, na, heya. c'mon let's sing na, na, na, na, na, heya. This is our song. That's all that matters. cause we all belong right here together. There's nothing better than singing along. This is our summer. This is our song. That's all that matters. cause we all belong right here together. There's nothing better than singing along. This is our summer. This is our song. (this is our song). This is our song. (this is our song). This is our song. (this is our song). This is our song"
what we came here for,"They say that life is a two way street. When you're not sure. You gotta trust your feet. To know the right way. You can keep on moving with your head down or. You can stop and take a look around. And that's the choice I've made. (I made). It's for that movie inside your head. Making memories we can't forget. And when you can't forget. You're gonna know. In your soul. That this is what we came here for. So live it loud. Here and now. This moment it won't be ignored. So why not open up that door. It's what we came here for. For every song we let play outside. And melodies we get to ride. Everytime we sing. The friends we've made. The fun we've had. Remembering's gonna make me laugh. It's a beautiful thing. (So beautiful). I wanna send it around the world. 'Cause everybody should feel this good. 'Cause when you feel this good. You're gonna know. In your soul. That this is what we came here for. So live it loud. Here and now. This moment it won't be ignored. So why not open up that door. It's what we came here for. No. The fun's just getting started. Just celebrating where we are. And when you're loving where you are. You're gonna know. In your soul. That this is what we came here for. So live it loud. Here and now. This moment, it won't be ignored. You're gonna know. In your soul. This is what we came here for. So live it loud. Here and now. This moment, it won't be ignored. So why not open up that door. So come on open up that door. It's what we came here for. It's what we came here. We came here for"
different summers,"We're like a melody with no words. Until you figure it out. We sing. La, la, la, la. La, la. I know it's simple, yeah. But it's old. Right up to now. Cause up to now, yeah. Everyday is spent like a dream, oh. But now you're not just in my head, oh no. When we remember different summers. It's like tossing our hearts to see where they land. Heads is easy. Tails is harder to plan. When we're starting all over again and again and again. You know that I can't help but wonder. What's gonna happen next. I'm a little curious, oh yeah. Every star that I stood under. You were under it too. Did you ever think about us?. I hope you did, 'cause I can't tell you. That's something I'll never forget. I won't forget. When we remember different summers. It's like tossing your heart to see where it lands. Heads is easy. Tails is harder to plan. When we're starting all over again. Only friends. Just beginning. But I hope that we find it again. So again. Come here. When we remember different summers. It's like tossing your heart to see where it lands. Heads is easy. Tails is harder to plan. When we're starting all over again. Again, and again, and again, and again. Again, and again, and again. We will remember. Different Summers"
fire,"Go Go Go (3x). Let's go. Go Go Go (3x). Nobody's gonna wanna get next to me. Cause they know (they know). I take this one I won't let it go. Doesn't' matter how you approach the scene. Just go (just go). You're everything and more when you hit the door. I dare you to challenge me. You'll be begging for mercy please. Just watch I'll give you something to follow. Cause I've been waiting so patiently (to make the). Fire come outta me. I faught you up again, I'm just letting you know. I keep givin you the fire. I'm gon' heat it up. Under my control. Here's the night that you've been waiting on. Fire. I'm gon' light it up. Gotta make it hot. The stage is mine. Let's set it off. The king is knowin' no one can take this crown. It's so great (so great). They can cool me off when I hit the stage. Burnin hot, the spotlight just spelt my name. I feel famous (famous). The crowd cheers me on they can't get enough. I dare you to challenge me. You'll be begging for mercy please. Just watch I'll give you something to follow. Cause I've been waiting so patiently (waiting so patiently ). Fire come outta me. I faught you up again, I'm just letting you know. I keep givin you the fire. I'm gon' heat it up. Under my control. Here's the night that you've been waiting on. Fire. I'm gon' light it up. Gotta make it hot. The stage is mine. I keep givin you the fire. I'm gon' heat it up. Under my control. Here's the night that you've been waiting on. Fire. I'm gon' light it up. Gotta make it hot. The stage is mine. Let's set it off. Oooh. Go Go Go. Oooh. Go Go Go. Oooh. Go Go Go. Ohhhh. Oooh. Go Go Go (come on, come on, yeah). Oooh. Go Go Go (come on, come on, yeah). Oooh. Go Go Go. Ohhhhhh. I keep givin you the fire. I'm gon' heat it up. Under my control. Here's the night that you've been waiting on. Fire. I'm gon' light it up. Gotta make it hot. The stage is mine. I keep givin you the fire. I'm gon' heat it up. Under my control. Here's the night that you've been waiting on. Fire. I'm gon' light it up. Gotta make it hot. The stage is mine. Let's set it off. Fire!"
eu não mudaria nada em você (com jullie),"Eu sei,. Que ele nunca vai me ouvir. Minhas palavras tendem a sumir. Ele é tão Inalcançável. Eu sei,. Que pra ele é diversão. Sempre estar perdendo a razão. Like he doesn't even care. Você, me. We're face to face. But we don't see eye to eye. Somos terra e ar!. Fire and rain. Nada vai nos mudar. Drive me insane. But I can't stay mad at you for anything. Diferentes demais. Venus and Mars. Deixo tudo pra trás. Like Different stars. You're the harmony to every song I sing. And I wouldn't change a thing. She's always trying to seize her day. Just wanna let the music play. She's all or nothing. But my feelings never change. Não, não é assim que deve ser!. De cada pensamento quer saber. That's what all of my friends say. Você, me. We're face to face. But we don't see eye to eye. Somos terra e ar!. Fire and rain. O deserto e o mar. Drive me insane. E eu não mudaria nada em você. Diferentes demais. Venus and Mars. Deixo tudo pra trás. Like Different stars. You're the harmony to every song I sing. And I wouldn't change a thing. When I miss she's no. Quando eu chamo ele não vem. We're perfectly imperfect. But I wouldn't change a thing. Somos terra e ar!. Fire and rain. Nada vai nos mudar. Drive me insane. But I can't stay mad at you for anything. Diferentes demais. Venus and Mars. Deixo tudo pra trás. Like Different stars. You're the harmony to every song I sing. And I wouldn't change a thing. But I can't stay mad at you for anything. Diferentes demais. Venus and Mars. Deixo tudo pra trás. Like Different stars. You're the harmony to every song I sing. And I wouldn't change, wouldn't change a thing"
too cool,"I'm too cool for my dress. These shades don't leave my head. Everything you say is so irrelevant. You follow and I lead. You wanna be like me. But you're just a wannabe. love it or hate it(ahhh). I can't help the way I am. Hope you don't misunderstand. But I'm too cool (too cool). and I'm too cool to know you. Don't take it personal. Don't get emotional. You know it's the truth. I'm too cool for you. You think you're hot but I'm sorry, you're not. Exactly who you think you are. Can tell you what you haven't got. When we walk into the room. I'm too cool for you. You're lucky I'm so nice. Even I'm surprised. You are still allowed to be in my crew. I'll show you how it's done. If you wanna be someone. Just watch me and you'll learn some (ahhh). Me, myself, and I agree(ahhh). You'll never catch up with me. 'Cause I'm too cool (too cool). Yeah I'm too cool to know you. Don't take it personal. Don't get emotional. You know it's the truth. I'm too cool for you. You think you're hot but I'm sorry, you're not. Exactly who you think you are. Can tell you what, what you haven't got. But when we walk into the room. I'm too cool for you. You see some are born with beauty, brains and talent. And I got it all. While others have to try all their lives. Still they never get the call. That's the difference between you and me. Obviously. I'm a natural. I'm the real deal, yeah. I can't help the way I am (ahhh). Hope you don't misunderstand. But I'm too cool (too cool). Yeah I'm too cool, to know you. Don't take it personal. Don't get emotional. You know it's the truth. I'm too cool for you. Too cool (too cool). Yeah I'm too cool, to know you. Don't take it personal. Don't get emotional. You know it's the truth. I'm too cool for you"
2 stars,"Wake up. When will things be good enough for you. To see all that we can be. I'm sick of playin' games. And actin' like we never care. That we're never there. We pay attention for only seconds. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Come on, come on, come on... Look at you. Come on, come on, come on... Look at me. Listen. the way we feel is not just. about you or me. It's the harmony. Just give in. Cause together we'll be brighter than just any star. A work of art. We'll make the sky bright. We'll light it, you and I. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Come on, come on, come on... Look at you. Come on, come on, come on.... Is it too much to ask. That you put us first. Oh. I feel like we're last in our universe. And that's not where we ought to be. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Come on, come on, come on... Look at you. Come on, come on, come on... Look at me. Come on, come on, come on... Look at you. Come on, come on, come on... Look at me"
play my music,"Turn on that radio as loud as it can go. Wanna dance until my feet can't feel the ground. Say goodbye to all my fears. One good song, they disappear. And nothing in the world can bring me down. Hand clapping. Hip shaking. Heart breaking. Theres no faking. What you feel when you right at home, yeah. Musics in my soul. I can hear it. Everyday and every night. It's the one thing on my mind. Musics got control. And I'm never letting go, no no. I just wanna play my music. Got my six string on my back. Don't need anything but that. Everything I want is here with me. So forget that fancy car. I dont need to go that far. And what's driving me, is following my dreams, yeah. Hand clapping. Earth shaking. Heart breaking. There's no faking. What you feel when you're on a roll. Musics in my soul. I can hear it. Everyday and every night. It's the one thing on my mind. Musics got control. And I'm never letting go, no no. I just wanna play my music. I just wanna play my music. Can't imagine what it'd be like. Without the sounds of all my heroes. Singing all my favorite songs. So I can sing along. Musics in my soul. I can hear it. Everyday and every night. It's the one thing on my mind. Musics got control. And I'm never letting go, no no. I just wanna play my music. Musics in my soul. I can hear it. Everyday and every night. It's the one thing on my mind. Musics got control. And I'm never letting go, no no. I just wanna play my music. All night long, yeah!"
2 stars,"Wake up. When will things be good enough for you. To see all that we can be. I'm sick of playin' games. And actin' like we never care. That we're never there. We pay attention for only seconds. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Come on, come on, come on... Look at you. Come on, come on, come on... Look at me. Listen. the way we feel is not just. about you or me. It's the harmony. Just give in. Cause together we'll be brighter than just any star. A work of art. We'll make the sky bright. We'll light it, you and I. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Come on, come on, come on... Look at you. Come on, come on, come on.... Is it too much to ask. That you put us first. Oh. I feel like we're last in our universe. And that's not where we ought to be. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Look at you. Look at me. There's never any us. Can't you see all we can become. We can shine like the sun. If we believe. 2 stars are brighter than one. Come on, come on, come on... Look at you. Come on, come on, come on... Look at me. Come on, come on, come on... Look at you. Come on, come on, come on... Look at me"
brand new day,"Last year is old news. I'm breaking out my six string. And playing from my heart. It's not deja vu. Cause it's another summer. That's how this chapter starts. I'm gonna run so fast till I can't breathe. Come along and follow me. Let's make some noise we never did before. It's a brand new day. Don't you see me. Changing up my way. So completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day, and I'm feeling good. And I'm feeling good. So drama free. I'm all about the music I just wanna sing. Watch me leave out my dreams. I'm gonna rock that stage and get my everything. I'm gonna dance until my feet can't move. Come along get in the groove. Let's shine so bright what can we did before. It's a brand new day. Don't you see me?. Changing up my way. So completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day, and I'm feeling good. (what are you gonna do? what are you gonna do?). I'm gonna laugh through the summer with you.. (who you are gonna be? who you are gonna be?). You'll just have to watch me carefully. (Where you wanna go? where you wanna go?). Anywhere my heart wants me to go. I'm gonna sing, I'm gonna dance. I'm gonna ride, I'm gonna play. I'm gonna try my hand in everything. Cause it's a brand new day. Don't you see me. Changing up my way. So completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day. It's a brand new day. Don't you see it?. Changing up my way so completely. This time I'm gonna sing, everybody hear it. This time I'm gonna show you that I got the spirit. It's a brand new day. (It's a brand new day). It's a brand new day. And I'm feeling good. (Feeling good). And I'm feeling good!"
can't back down,"We can't, we can't back down. We can't, we can't back down. We can't, we can't back down. We can't, we can't back down. Not right now. We can't back down. Not right now. We can't back down. We can't back down. Ohhhhh yeah. Don't close your eyes. We're all in this together. Whatever. They draw the line. Weren't gonna straddle across it. Or lose it. We can't back down. There's too much at stake. This is serious. Don't walk away. We can't pretend it's not happening. In our own backyard. I wanna play. We can't call out. Do you hear your name?. I'm not confused. Let's win this thing. We can't back down. There's too much at stake. Don't walk away (x2). Don't get me wrong. I don't like confrontation. I rather we all just get along. Music should be undivided, united. We can't back down. There's too much at stake. This is serious. Don't walk away. We can't pretend it's not happening. In our own backyard. I wanna play. We can't call out. Do you hear your name?. I'm not confused. Let's win this thing. We can't back down. There's too much at stake. Don't walk away (x2). Don't Walk away. We got a situation. That we can't ignore. 'Cause ignorance is not this. We don't have to take this. With everything in this decision. Comes with an equal share of love. We got to take this. We can't back down. There's too much a stake. This is serious. Don't walk away. We can't pretend it's not happening. In our own backyard. I wanna play. We can't call out. Do you hear your name?. I'm not confused. Let's win this thing. We can't back down. There's too much at stake. Don't walk away (x2). We can't back down. We can't back down. Not right now. We can't back down"
different summers,"We're like a melody with no words. Until you figure it out. We sing. La, la, la, la. La, la. I know it's simple, yeah. But it's old. Right up to now. Cause up to now, yeah. Everyday is spent like a dream, oh. But now you're not just in my head, oh no. When we remember different summers. It's like tossing our hearts to see where they land. Heads is easy. Tails is harder to plan. When we're starting all over again and again and again. You know that I can't help but wonder. What's gonna happen next. I'm a little curious, oh yeah. Every star that I stood under. You were under it too. Did you ever think about us?. I hope you did, 'cause I can't tell you. That's something I'll never forget. I won't forget. When we remember different summers. It's like tossing your heart to see where it lands. Heads is easy. Tails is harder to plan. When we're starting all over again. Only friends. Just beginning. But I hope that we find it again. So again. Come here. When we remember different summers. It's like tossing your heart to see where it lands. Heads is easy. Tails is harder to plan. When we're starting all over again. Again, and again, and again, and again. Again, and again, and again. We will remember. Different Summers"
