what i like,"I like it, I like it, I like it, I like it. Oh baby, that's what I like. We in the goon grade, goose with the sprite. Loose sipping dreaming juice, wild for the night. She wanna find out if the dog bites. Oh baby, that's what I like. We hitting the front row, all up in the street. Brim when she say my name, last she a freak. She wanna get down on the first night. Oh baby, that's what I like. I got them like. Going down!. I got these French chicks tryina French kiss in my ear. They telling me like I'm. Going down!. 'Cause when I rock and write 7 days a week. I got 'em singing like. (x2). I like it, I like it, I like it, I like it. I like it, I like it, I like it, I like it. I like it, I like it, I like it, I like it. Oh baby, that's what I like. Now, we in the bar no charge getting drunk. Hot ladies taking shots like it's Starbucks. College girls they just wanna party all night. Oh baby, that's what I like. Alright, body shots, making a scene. Straight A's over C's but she's taking a D. And if I hit it once she'll be begging for it twice. Oh baby, that's what I like. I got 'em like. Going down!. These chicks tell me I'm the fresh prince. If not, the next best since. I'm the. Going down!. 'Cause when I rock and write 7 days a week. I got 'em singing like. (x2). I like it, I like it, I like it, I like it. I like it, I like it, I like it, I like it. I like it, I like it, I like it, I like it. Oh baby, that's what I like. Go give me one for the money, two for the rhythm. Three for these beautiful women that ever giving me attention. Now that I made rapping my profession. They undressing bodies looking like perfection it's a blessing. I'm an east coast kid on a west coast life. Drive on a quest like q tip and fife. And would you bring a friend if I ask real nice?. Oh baby, that's what I like. (x2). I like it, I like it, I like it, I like it. I like it, I like it, I like it, I like it. I like it, I like it, I like it, I like it. Oh baby, that's what I like. You know I like it like this, I like it like that. Like it from the front and like it from the back. I like it like this, I like it like that. I like it. Oh baby, that's what I like. Oh baby, oh baby, oh baby. I like that. Oh baby, that's what I like"
where is the love,"What's wrong with the world mama?. People living like aint got no mamas. I think the whole worlds addicted to the drama. Only attracted to the things that bring you trauma. Overseas yeah we tryin to stop terrorism. But we still got terrorists here livin. In the USA the big CIA the Bloodz and the Crips and the KKK. But if you only have love for your own race. Then you only leave space to discriminate. And to discriminate only generates hate. And if you hatin you're bound to get irate. Yeah madness is what you demonstrate. And that's exactly how anger works and operates. You gotta have love just to set it straight. Take control of your mind and meditate. Let your soul gravitate to the love y'all. People killing people dying. Children hurtin you hear them crying. Can you practice what you preach. Would you turn the other cheek?. Father Father Father help us. Send some guidance from above. Cause people got me got me questioning. Where is the love?(where is the lovex3)(the love2x). It just ain't the same all ways have changed. New days are strange is the world the insane?. If love and peace so strong. Why are there pieces of love that don't belong. Nations dropping bombs. Chemical gases filling lungs of little ones. With ongoing suffering. As the youth die young. So ask yourself is the loving really strong?. So I can ask myself really what is going wrong. With this world that we living in. People keep on giving in. Makin wrong decisions. Only visions of them livin and. Not respecting each other. Deny thy brother. The wars' going on but the reasons' undercover. The truth is kept secret. Swept under the rug. If you never know truth. Then you never know love. Where's the love y'all?(I don't know). Where's the truth y'all?(I don't know). Where's the love y'all?. People killing people dying. Children hurtin you hear them crying. Can practice what you preach. Would you turn the other cheek?. Father father father help us. Send some guidance from above. Cause people got me got me questioning. Where is the love?(where is the lovex3)(the lovex2). I feel the weight of the world on my shoulder. As I'm getting older y'all people get colder. Most of us only care about money makin. Selfishness got us followin the wrong direction. Wrong information always shown by the media. Negative images is the main criteria. Infecting their young minds faster than bacteria. Kids wanna act like what the see in the cinema. Whatever happened to the values of humanity. Whatever happened to the fairness and equality. Instead of spreading love, we're spreading anomosity. Lack of understanding, leading us away from unity. That's the reason why sometimes I'm feeling under. That's the reason why sometimes I'm feeling down. It's no wonder why sometimes I'm feeling under. I gotta keep my faith alive, until love is found. People killing people dying. Children hurtin you hear them crying. Can you practice what you preach. Would you turn the other cheek?. Father Father Father help us. Send some guidance from above. Cause people got me got me questioning. Where is the love?(fade)"
with ur love,"Baby you're the best cause you worked me out. I keep building walls up but you tear 'em down. I'm fighting. I don't wanna like it but you know I like it. But you know I like it, like it, like it. Used to always think I was bullet-proof. But you got an Ak and your blowing through. Explosive, you don't even know it, I want you to know it. I want you to know it, know it, know it. All of them other boys can walk away. They ain't even in the game. 'Cause they know that you own it. You got this swag, you got this attitude. Wanna hear you say my name. 'Cause you got me. Flying with your love. Shining with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love, so sick but so what. I feel like I'm on top of the world with your love. Everybody wants what I got with you. 'Cause I'm standing on top with a killer view. Inspired feeling like a million, I'm one in a million. I'm one in a million, million, million. I ain't even here I'm in outer space. Like I'm Venus you're Mars in the milky way. It's crazy, what you're doing to me, how you do it to me. How you do it to me, to me, to me. All of them other boys can walk away. They ain't even in the game. 'Cause they know that you own it. You got this swag you got this attitude. Wanna hear you say my name (Say my name). 'Cause you got me. Flying with your love. Shining with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love, so sick but so what. I feel like I'm on top of the world with your love. Çause you got me. Flying baby, I'm shining baby. I'm riding with your love. One hit baby, I can't quit baby. I'm so sick but so what. Flying baby, I'm shining baby (I'm shining). I'm riding with your love. One hit baby, I can't quit baby. I'm so sick but so what. Flying with your love. Shining with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love, so sick but so what. I feel like I'm on top of the world with your love"
with ur love (feat. juicy j),"Baby you're the best cause you worked me out. I keep building walls up but you tear ?em down. I'm fighting. I don't wanna like it but you know I like it. But you know I like it like it like it. Used to always think I was bullet-proof. But you got an AK and your blowing through. Explosive, you don't even know it, I want you to know it. I want you to know it know it know it. All of them other boys can walk away. They ain't even in the game. Cause they know that you own it. you got this swag you got this attitude. Wanna hear you say my name. Cause you got me. Flying with your love, shining with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love,. can't quit with your love, so sick but so what. I feel like I'm on top of the world with your love. Everybody wants what I got with you. Cause I'm standing on top with a killer view. Inspired feeling like a million, I'm one in a million. I'm one in a million million million. I ain't even here I'm in outer space. Like I'm Venus you're Mars in the milky way. It's crazy, what your doing to me, how you do it to me. How you do it to me to me to me. All of them other boys can walk away. They ain't even in the game. Cause they know that you own it. You got this swag you got this attitude. Wanna hear you say my name. Cause you got me. Flying with your love, shining with your love, riding with your Love. I feel like I'm on top of the world with your love. One hit with your love can't quit. with your love so sick but so what. I feel like I'm on top of the world with your love. [Juicy J]. I'm in love and I'm trippin'. I'm f*ing all last week. My chick look like Neil Long, your chick look like Miss Piggy. And my chick is for, get a white girl like Iggy. I get so much money, I get my ties, I'm like Biggie. I'm loading up and we flyin' up. My good blouse Lassari,. Me, her and a Lamborghini, getting ? ride with the hot babes. My girl pinballing, she like Sheryl Swoopes. Wile you f*cking with an ex-baller shaking like hoops. Cause you got me flying baby. I'm shining baby I'm riding with your love. One hit baby I can't quit baby I'm so sick but so what. Cause you got me flying baby. I'm shining baby I'm riding with your love. One hit baby I can't quit baby I'm so sick but so what. Flying with your love, shining. with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love can't quit. with your love so sick but so what. I feel like I'm on top of the world with your love"
with ur love (feat. mike posner),"Baby you're the best 'cause you worked me out. I keep building walls up but you tear them down. I'm fighting. I don't wanna like it. But you know I like it. But you know I like it. Like it, like it. Used to always think I was bullet proof. But you got an AK and you're blowing through. Explosive. You don't even know it. I want you to know it. I want you to know it. Know it, know it. All of them other boys can walk away. They ain't even in the game. Cuz they know that you own it. You got this swag, you got this attitude. Wanna hear you say my name. Cuz you got me flying with your love. Shining with your love. Riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love. So sick but so what?. I feel like I'm on top of the world with your love. Everybody wants what I got with you. Cuz I'm standing on top with a killer view. Inspired, feeling like a million. I'm one in a million. I'm one in a million. Million, million. I ain't even here, I'm in outer space. Like I'm Venus you're Mars in the milky way. It's crazy what you're doing to me. How you do it to me. How you do it to me, to me, to me. All of them other boys can walk away. They ain't even in the game. Cuz they know that you own it. You got this swag, you got this attitude. Wanna hear you say my name. Cuz you got me flying with your love. Shining with your love. Riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love. So sick but so what?. I feel like I'm on top of the world with your love. [Mike Posner:]. You got it, yeah yeah. You got it. I could slow down, speed it up, how you want it, girl. All night long. And I don't even care if you sing my songs wrong. 1st date, 1st base. 2nd date, 2nd base. 3rd date, you're looking at me funny. You got a hard shell but the middle is so yummy. Flying baby, I'm shining, baby, I'm riding, baby, with your love. One hit, baby, I can't quit baby. I'm so sick but so what?. Flying baby, I'm shining, baby, I'm riding, baby, with your love. One hit, baby, I can't quit baby. I'm so sick but so what?. Flying with your love. Shining with your love. Riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love. So sick but so what?. I feel like I'm on top of the world with your love"
want u back,"Hey, boy you never had much game. Thought I needed to upgrade. So I went and walked away way way. Now, I see you've been hanging out. With that other girl in town. Looking like a pair of clowns, clowns, clowns. Remember all the things that you and I did first?. And now you're doing them with her. Remember all the things that you and I did first?. You got me, got me like this. And now you're taking her to every restaurant. And everywhere we went, come on!. And now you're taking her to every restaurant. You got me, got me like this. Boy you can say anything you wanna. I don't give a shh, no one else can have ya. I want you back. I want you back. Wa-want you, want you back. I broke it off thinking you'd be cryin'. Now I feel like shh looking at you flyin'. I want you back. I want you back. Wa-want you, want you back. Please, this ain't even jealousy. She ain't got a thing on me. Tryin' to rock with an ugly jeans, jeans, jeans. You clearly didn't think this through. If what I've been told is true. You'll be crawling back like boo hoo hoo. Remember all the things that you and I did first?. And now you're doing them with her. Remember all the things that you and I did first?. You got me, got me like this. And now you're taking her to every restaurant. And everywhere we went, come on!. And now you're taking her to every restaurant. You got me, got me like this. Boy you can say anything you wanna. I don't give a shh, no one else can have ya. I want you back. I want you back. Wa-want you, want you back. I broke it off thinking you'd be cryin'. Now I feel like shh looking at you flyin'. I want you back. I want you back. Wa-want you, want you back. Uhhh... I thought you'd still be mine. When I kissed you goodbye uh oh uh oh. Uhhh... and you might be with her. But I still had you first uh oh uh oh. Remember all the things that you and I did first?. And now you're doing them with her. Remember all the things that you and I did first?. You got me, got me like this!. Boy you can say anything you wanna. I don't give a shh, no one else can have ya. I want you back. I want you back. Wa-want you, want you back. I broke it off thinking you'd be cryin'. Now I feel like shh looking at you flyin'. I want you back. I want you back. Wa-want you, want you back. Uhhh... (lalalalala) I want you back. I want you back. Wa-want you, want you back. Uhhh, I want you back. I want you back. Wa-want you, want you back"
oath (feat. becky g),"Yo, my best friend, best friend til the very end. Cause best friends, best friends don't have to pretend. You need a hand, and I'm right there right beside you. You in the dark, I'll be the bright light to guide you. 'Member the times, times, times sneaking out the house. All of the times, times, times that you had your doubts. And don't forget all the trouble we got into. We got something you can't undo, do. Laughing so damn hard. Crashed your dad's new car. All the scars we share. I promise, I swear. Wherever you go, just always remember. That you got a home for now and forever. And if you get low, just call me whenever. This is my oath to you. Wherever you go, just always remember. You're never alone, we're birds of a feather. And we'll never change, no matter the weather. This is my oath to you. I know I drive you crazy, hmm... sometimes. I know I call you lazy, and that's most times. But you complete me, and that's no lie. You are my tuxedo, and I'm your bow tie. We're in the car, singin', singin', singin' our song. Walk in the building, tear it down, like we're King Kong. And in my eyes you could do, do no wrong. You got a best friend sing, sing, sing along. Laughing so damn hard. Crashed your dad's new car. All the scars we share. I promise, I swear. Wherever you go, just always remember. That you got a home for now and forever. And if you get low, just call me whenever. This is my oath to you. Wherever you go, just always remember. You're never alone, we're birds of a feather. And we'll never change, no matter the weather. This is my oath to you. Ohhh... I'll never let you go. Ohhh... Woah, this is my oath to you. Ohhh... Just thought that you should know. Ohhh... This is my oath to you. Wherever you go, just always remember. That you got a home for now and forever. And if you get low, just call me whenever. This is my oath to you. Wherever you go, just always remember. You're never alone, we're birds of a feather. And we'll never change, no matter the weather. This is my oath to you. Ohhh.... You should know, you should know,. You should know, you should know, yeah.. Ohhh... Woah, this is my oath to you. Ohhh... Wherever you go just always remember. You're never alone, we're birds of a feather. Ohhh... And we'll never change, no matter the weather. This is my oath to you"
with ur love (feat. mike posner),"Baby you're the best 'cause you worked me out. I keep building walls up but you tear them down. I'm fighting. I don't wanna like it. But you know I like it. But you know I like it. Like it, like it. Used to always think I was bullet proof. But you got an AK and you're blowing through. Explosive. You don't even know it. I want you to know it. I want you to know it. Know it, know it. All of them other boys can walk away. They ain't even in the game. Cuz they know that you own it. You got this swag, you got this attitude. Wanna hear you say my name. Cuz you got me flying with your love. Shining with your love. Riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love. So sick but so what?. I feel like I'm on top of the world with your love. Everybody wants what I got with you. Cuz I'm standing on top with a killer view. Inspired, feeling like a million. I'm one in a million. I'm one in a million. Million, million. I ain't even here, I'm in outer space. Like I'm Venus you're Mars in the milky way. It's crazy what you're doing to me. How you do it to me. How you do it to me, to me, to me. All of them other boys can walk away. They ain't even in the game. Cuz they know that you own it. You got this swag, you got this attitude. Wanna hear you say my name. Cuz you got me flying with your love. Shining with your love. Riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love. So sick but so what?. I feel like I'm on top of the world with your love. [Mike Posner:]. You got it, yeah yeah. You got it. I could slow down, speed it up, how you want it, girl. All night long. And I don't even care if you sing my songs wrong. 1st date, 1st base. 2nd date, 2nd base. 3rd date, you're looking at me funny. You got a hard shell but the middle is so yummy. Flying baby, I'm shining, baby, I'm riding, baby, with your love. One hit, baby, I can't quit baby. I'm so sick but so what?. Flying baby, I'm shining, baby, I'm riding, baby, with your love. One hit, baby, I can't quit baby. I'm so sick but so what?. Flying with your love. Shining with your love. Riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love. So sick but so what?. I feel like I'm on top of the world with your love"
dancing on my own,"Somebody said you got a new friend. Does she love you better than I can. There's a big black sky over my town. I know where you at, I bet she's around. Yeah I know it's stupid. But I just got to see it for myself. I'm in the corner, watching you kiss her. I'm right over here, why can't you see me. I'm givin' it my all, but I'm not the girl you're. takin' home. I keep dancin' on my own. I'm just gonna dance all night. I'm all messed up, I'm so out of line. Stilettos and broken bottles. I'm spinning around in circles. I'm in the corner, watching you kiss her. I'm right over here, why can't you see me. I'm givin' it my all, but I'm not the girl you're. takin' home. I keep dancin' on my own. So far away, but still so near. The lights go on, the music dies. But you don't see me, standing here. I just came to say goodbye. I'm in the corner watching you kiss her. I'm givin' it my all, but I'm not the girl you're. takin' home. I keep dancin' on my own. I'm in the corner, watching you kiss her. I'm right over here, why can't you see me. I'm givin' it my all, but I'm not the girl you're. takin' home. I keep dancin' on my own"
behind the music,"No you don't stand a chance. For a second in my world. The same old song, it won't last long. If you can't stand behind the music. All the fame, all the girls. And all the money in this world. They don't mean sh-t, better admit. If you can't stand behind the music. So stand up. Show 'em how we do it. Won't back down until I see your, hands up. Tell 'em what the truth is. Stand behind the music. You gotta get behind. Cross your heart, hope to die. Splash a hype, dash a pretty that don't mean I'll buy. Okay alright already, they getting money. All the frauds, all the phonies, all the fakes, slow down. It's a fast pace world, breathe. Look my face in the mirror. Say, ""Who the heck am I?"". Look me in the eye. Is this conviction or addiction or a waste of time?. Just name a genre. Yeah I've tried it. Been doin' this from 15 to life, yeah. I need a break already. I gotta find it. And for the first time in my life, I'm doing my sh-t. I, I, I, I wanna stand up in this block stop burning. Girls getting crazed, looking naked, looking spaded. Chew it up, make my teeth rot. You think I'm talkin' to ya?. I'm probably not, nah. No you don't stand a chance. For a second in my world. The same old song, it won't last long. If you can't stand behind the music. All the fame, all the girls. And all the money in this world. They don't mean sh-t, better admit. If you can't stand behind the music. When I was a little younger. Lookin' for a label and a little clean danger. Ellie had a taste for a new adventure. Open every 'do not enter'. Yeah I was tryin' hard to be somebody. Be the cool kid at the party. Lookin' at me laddy daddy, hottie hottie, hot tamale. Stranger sizing up my body. Told me I could be somebody. Wait, someone stopped me, went home and I called my mommy. I know I'm not that girl. I still wanna be the leader of a free world. Yeah I'm a big dreamer. I'm a believer. Just try to tell me no, I'm a go full steamer. No, can't slow me down. ... this down from the inside out. Block by block from the bottom to the top. I know just who I am. And I know just who I'm not. No you don't stand a chance. For a second in my world. The same old song, it won't last long. If you can't stand behind the music. All the fame, all the girls. And all the money in this world. They don't mean sh-t, better admit. If you can't stand behind the music. So stand up, show 'em how we do it. Won't back down until I see your hands up. Tell 'em what the truth is. Stand behind the music. Yeah, stand up, come on let me see your. Front row to the nose bleeders. Hands up, if you really need it. Stand behind the music. No you don't stand a chance. For a second in my world. The same old song, it won't last long. If you can't stand behind the music"
love the way you lie,On the first page of our story. The future seemed so bright. Even angels have their wicked schemes. And you take that to new extremes. But you'll always be my hero. Even though you've lost your mind. Just gonna stand there and watch me burn. But that's all right because I like the way it hurts. Just gonna stand there and hear me cry. But that's all right because. I love the way you lie. I love the way you lie. I can't tell you what it really is. I can only tell you what it feels like. And right now it´s a steel knife in my windpipe. I can´t breathe but I still fight while I can fight. As long as the wrong feels right it´s like I'm in. flight. Angels have their wicked schemes. And you take that to new extremes. Just gonna stand there and watch me burn. But that's all right because I like the way it hurts. Just gonna stand there and hear me cry. But that's all right because. I love the way you lie. I love the way you lie. I love the way you lie
bind your love,"Ooh, I don't care what anyone says. 'Cause you and I are bigger than this. And I'll be there just keeping my arms wide open. Ooh, they can try to pull us apart. I'll fight them all, I'll cover your heart. Yeah, we can fly together, we can't be broken, yeah. Yeah, we can find love, just like that. We can fall hard, just like that. Yeah, we could do it all, just like that. And I like it when you call me, I will always find you. When you need me I'll, I'll come for you. And when you're lonely, I will find a way to. Guide you home to me, I'll come for you, come for you. I will bind your love, bind your love to me, me. I will bind your love, bind your love to me, me. Ooh, now I'm found, I'll never be lost. I'll stick with you no matter the cost. Whatever comes we'll figure it out, I know that. Ooh, you and I like Adam and Eve. You lit the fire growing in me. You change my life, now there is no way to go back. Yeah, we can find love, just like that. We can fall hard, just like that. Yeah, we could do it all, just like that. And I like it when you call me, I will always find you. When you need me I'll, I'll come for you. And when you're lonely, I will find a way to. Guide you home to me, I'll come for you, come for you. I will bind your love, bind your love to me, me. I will bind your love, bind your love to me, me. Bind your love to me, me. Bind your love to me. Ooh, now I'm found, I'll never be lost. I'll stick with you no matter the cost. Whatever comes we'll figure it out, I know that. When you call me, I will always find you. When you need me I'll, I'll come for you. And when you're lonely, I will find a way to. Guide you home to me, I'll come for you. When you call me, I will always find you. When you need me I'll, I'll come for you. And when you're lonely, I will find a way to. Guide you home to me, I'll come for you, come for you. I will bind your love, bind your love to me, me. I will bind your love, bind your love to me, me. I will bind your love, bind your love to me, me. I will bind your love, bind your love to me, me"
sirens,"I carry the weight of you in my heavy heart. And the wind is so icy, I am numb. I carry the weight of you heading back to start. With a thousand eyes on me. I stumble on. I am tired, I'm growing older. I'm getting weaker every day. I carry the weight of you. I carry the weight of you. Lay down here. Beside me in the shallow water. Beside me when the sun is shining on us still. Lay down here. Beside me me in the hallowed water. Beside me when the silver lining stays. Until the sirens' calling. We followed the sun down low 'till we hit the night. And you hold me so tightly. It's hard to breathe. And I'm tired, I'm growing older. I'm getting weaker every day. We follow the sun down low. We follow the sun down low. Lay down here. Beside me in the shallow water. Beside me when the sun is shining on us still. Lay down here. Beside me in the hallowed water. Beside me when the silver lining stays until. The sirens' calling. The sirens' calling. Yeah, I'm tired. I'm growing older. I'm getting weaker every day. I am drowning, and you're stealing. Every breath, take me away and just. Lay down here. Beside me in the shallow water. Beside me when the sun is shining on us still. Lay down here. Beside me me in the hallowed water. Beside me when the silver lining stays until. The sirens' calling. The sirens' calling"
i wish (feat. t.i.),"Ey, ha ha, make a wish girl. You deserve it. Uh-huh. Yeah. Baby, I've seen the chick you're with. Wish that I never did. Freaking perfect, and five foot ten. Just wanna punch her lip. Cause I know I've been wasting time. Tryin'ta catch your eye. Yeah I know that I've been so blind. Thinking that I'm your type. And now I'm at home, I'm all alone. 'Bout to pick up the telephone. Got to call my genie so he knows, yeah. I wish I was tall. I wish I was fast. I wish I could shop with a bag of cash. Cause If I want you, I gotta have that. (Come, come kiss me boy). I wish I had style, I wish I had flash. I wish I woke up with a butt and a rack. Cause If I want you, I gotta have that. (Come, come kiss me boy). (uh-huh, yeah). Baby, I'm gonna keep it real. Boy, you're the one I want. I don't own any five inch heels, just got my Nikes on. Never thought I was insecure. Boy look at what you've done. I don't know what to studied for. Clearly you like 'em dumb. And now I'm at home, I'm all alone. 'Bout to pick up the telephone. Got to call my genie so he knows, yeah. I wish I was tall. I wish I was fast. I wish I could shop with a bag of cash. Cause If I want you, I gotta have that. (Come, come kiss me boy). I wish I had style, I wish I had flash. I wish I woke up with a butt and a rack. Cause If I want you, I gotta have that. (Come, come kiss me boy). Hey now don't you wanna do somethin' baby?. With the roof gone. Aston Martin look retarded like the coupe gone crazy. I'm not sure what kind of fella you like. But I can get you paradise. Have it however you like. I'm talking solitaire iced out. Ring, watch, necklace. Ain't no talking reckless. Girl I'm certified respected girl. You like to run your mouth. Well you about to learn a lesson, girl. Yeah you're the one. But I'll replace you in a second girl. And I ain't even trying to see you naked girl. Wait, there I go exaggerate. Clearly carried away. But what I'm saying you could true that. I wanna be wherever you at. So you wishing you could kiss me. Do you really wanna do that?. Make a wish girl. I wish I was tall. I wish I was fast. I wish I could shop with a bag of cash. Cause If I want you, I gotta have that. (Come, come kiss me boy). I wish I had style, I wish I had flash. I wish I woke up with a butt and a rack. Cause If I want you, I gotta have that. (Come, come kiss me boy). I wish I was tall. Cause If I want you, I gotta have that. (Come, come kiss me boy). I wish I had, I wish I had, I wish I had yeah yeah. Cause If I want you, I gotta have that. (Come, come kiss me boy)"
with ur love,"Baby you're the best cause you worked me out. I keep building walls up but you tear 'em down. I'm fighting. I don't wanna like it but you know I like it. But you know I like it, like it, like it. Used to always think I was bullet-proof. But you got an Ak and your blowing through. Explosive, you don't even know it, I want you to know it. I want you to know it, know it, know it. All of them other boys can walk away. They ain't even in the game. 'Cause they know that you own it. You got this swag, you got this attitude. Wanna hear you say my name. 'Cause you got me. Flying with your love. Shining with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love, so sick but so what. I feel like I'm on top of the world with your love. Everybody wants what I got with you. 'Cause I'm standing on top with a killer view. Inspired feeling like a million, I'm one in a million. I'm one in a million, million, million. I ain't even here I'm in outer space. Like I'm Venus you're Mars in the milky way. It's crazy, what you're doing to me, how you do it to me. How you do it to me, to me, to me. All of them other boys can walk away. They ain't even in the game. 'Cause they know that you own it. You got this swag you got this attitude. Wanna hear you say my name (Say my name). 'Cause you got me. Flying with your love. Shining with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love, so sick but so what. I feel like I'm on top of the world with your love. Çause you got me. Flying baby, I'm shining baby. I'm riding with your love. One hit baby, I can't quit baby. I'm so sick but so what. Flying baby, I'm shining baby (I'm shining). I'm riding with your love. One hit baby, I can't quit baby. I'm so sick but so what. Flying with your love. Shining with your love, riding with your love. I feel like I'm on top of the world with your love. One hit with your love. Can't quit with your love, so sick but so what. I feel like I'm on top of the world with your love"
riot!,"Cause we come alive. Trend Setters. Come get us. Never grow up 'cause. immature's better. Just let us please let up. I get my water gun. and you're gonna get wet uh.. Boom badoom boom boom. Screwing up cause it's cool. We love it so don't judge it. In my shirt pocket. I always keep a one hundred. Let's live off the wall,. the wall, the wall, the wall. Stand up till we fall. If we break we'll take it all. Cause we run, run for our lives. run from tomorrow run for tonight. Cause we run, run till we die. No point in living if we ain't living life. So riot! riot!. Everybody stand up. It's a riot! riot!. Put your f*n hands up. Cause we come alive. Tonight tonight. Cause we come alive. We on it, most wanted. Gatcha looking round for our fingerprints on it. No comment Just being honest. New world can't f with us. Boom badoom boom boom. Don't make us come for you. Roungh riders dun da da. If you don't give a what. Put em up don't knock us. Let's live off the wall,. the wall, the wall, the wall. Stand up till we fall. If we break we'll take it all. Cause we run, run for our lives. run from tomorrow run for tonight. Cause we run, run till we die. No point in living if we ain't living life. So riot! riot!. Everybody stand up. It's a riot! riot!. Put your f*n hands up. Cause we come alive. Tonight tonight. If you think we've all gone crazy. how'd you guess?. Gonna tear the world apart. 'til there's nothing left. Let me see your red up. Put 'em up!. Put 'em up!. If you ever f'd up. So what put 'em up. 'Til we in cuffs cause we ever shutting up!. Cause we run, run for our lives. run from tomorrow run for tonight. Cause we run, run till we die. No point in living if we ain't living life. So riot! riot!. Everybody stand up. It's a riot! riot!. Put your f*n hands up. Cause we come alive. Tonight tonight"
just be mine,"Yeah, yeah, okay. You say I'ma treat you right. I say that you're too uptight. Then we have a stupid fight. I don't mean to hurt you but I do. Break up and I take you back. Make you have a heart attack. Boom boom, it's a heart attack. I don't mean to hurt you but I do. Be my buttercup, be my star. Beat it like a drum, beat it hard. Even though I'm out in the night. Even though I'm wrong, just be mine. Be my lover boy, be my spark. Be my fire boy in the dark. Even though I'm out in the night. Even though I'm wrong, just be mine, boy. Just be mine, just be mine. Just be mine, just be mine, boy. I want you like. Uh uh uh uh ah ah ah ah. Sometimes, I'm a crazy chick. Doing things that'll make you sick. But I get away with it. I don't mean to hurt you but I do. You say that I make you wait. That's true 'cause I make you wait. Just one of the things you hate. I don't mean to hurt you but I do. Be my buttercup, be my star. Beat it like a drum, beat it hard. Even though I'm out in the night. Even though I'm wrong, just be mine. Be my lover boy, be my spark. Be my fire boy in the dark. Even though I'm out in the night. Even though I'm wrong, just be mine, boy. Just be mine, just be mine. Just be mine, just be mine, boy. I want you like. Uh uh uh uh ah ah ah ah. I always messed up (I'm sorry). I really need you now (I'm sorry). I just can't help myself (So naughty). Uh uh uh, so naughty. I always messed up (I'm sorry). I really need you now (I'm sorry). I just can't help myself (So naughty). Uh uh uh, so naughty. Uh uh uh uh ah ah ah ah. Just be mine, whoa ohh. I want you like. Ohh. I want you like. Ohh"
swagger jagger,"Swagger jagger, swagger jagger. You should get some of your own. Count that money, get your game up. Get your game up, get ya, get ya, game up. You can't stop looking at me, staring at me. Be what I be, you can't stop looking at me. So get off my face,. you can't stop kicking at me. Whine 'bout me, tweet 'bout me,. I can't stop, this what gonna be,. my swagger's in check. Get on the floor,. Get, get, get on the floor. My swagger's in check. Get on the floor,. Get, get, get on the floor. I got in check. Swagger jagger, swagger jagger. You should get some of your own. Count that money, get your game up. You're a hater, just let it go. Swagger jagger, swagger jagger. You should get some of your own. Count that money, get your game up. Get your game up, get your game up. You can't stop shouting at me, holling at me,. be what I be. You can't stop looking at me,. so get off my way. You can't stop youtubing me, on repeat,. running this beat. You can't stop this one is a me, i'm laughing all the way. Get on the floor,. Get, get, get on the floor. Get on the floor,. Get, get, get on the floor. I got in check. Swagger jagger, swagger jagger. You should get some of your own. Count that money, get your game up. You're a hater, just let it go. Swagger jagger, swagger jagger. You should get some of your own. Count that money, get your game up. Get your game up, get your game up. Hi hater,. Kiss kiss. I'll see you later. Bye hater,. It was very very very nice to meet ya. Get on the floor.... Get, get, get..... Get on the floor.... Get on the floor.... I got it in check. Get on the floor.... Get on the floor.... My swagger's in check. Get on the floor.... Get on the floor.... I got it in check"
