believer,Life Is What You Make It. At least that's what they say. Well I think im gonna make it. Fulfill my dreams one day. I feel this fire growing deep inside of me. Im so inspired knowing that its my destiny. I breathe like a champion. I dream im a champion. I see im a champion. Its meant to be. My wills getting stronger. I cant wait any longer. Im singing a song that's inside of me. Cuz im a believer. I know that I can make it. No matter what they say. So im a believer. The Future is Now. It starts today. I keep my head up. Everyday im waiting. Trying to find the patients. So close I can taste it..But sometimes its so hard. But imma keep on pushing. And Imma keep on fighting. And imma keep on trying because I come to far. I breathe like a champion. I dream im a champion. I see im a champion. Its meant to be. My wills getting stronger. I cant wait any longer. I'm singing a song that's inside of me. Cuz im a believer. I know that I can make it. No matter what they say. So im a believer. The Future is Now. It starts today. The Future is now ..It Starts Today. By Cayo Corrêa - www.cayocorrea.com.br/www.cayocorrea.com/www.christinaguilera.com.br
down for you,"VERSE 1:. Boy you know I'm the type of girl. Who will always understand. And whatever you're going through,. I will always be right there. But there's just a few things you should know. I'm not the chick that'll blow ya' spot in front your friends. Cuz I'm cool like that, I'm sayin'. Maybe your old girlfriend complained. But baby with me, it's not the same. You treat me right when we're alone. You got your own thing when you're gone. CHORUS:. Baby you know that I'm down for you. Keep that on the low when you're with your crew. Cuz I know how you feel when it's me and you. Cuz baby you know that I'll hold it down for you. No need to trip when you're with your friends. Cuz you aint gotta hug me or hold my hand. Baby I'm grown so I understand. Cuz baby you know that I'll hold it down for you. VERSE 2. It's kinda funny on the phone when I talk to you. When I tell you ""I love you"", and you just laugh and say ""me too"" (ooh). Just the other day when you passed me by. I could see you were checkin' me from the corner of your eye. Maybe your old girlfriend complained. but baby with me, it's not the same. You treat me right when we're alone. you got your own thing when you're gone. (CHORUS 2x). Baby you know that I'm down for you"
love,"Feat. Joe Budden. Ohhhhh oh oh oooh. Joe:. OH!...Joey...Christina. We Gonna Take It To The 80's. I'ma Hold You Down Though. Joe Budden:. Look. You tired of the same old. Chit-Chat,lame sto's. Mami's frame loc'. Make dudes chain smoke. We can do thangs slow. As if you ain't know. All real. Them other dudes ain't joe. They'll put you in canaries temporarily. But you know they can't compare to me. Can't come close. Pop cham', one toast. Til I'm on my knees. With ya hand up froze. Now why you acting like you can't come close, ma?. Christina Milian: Things about to change. I won't just give my heart away. Cause when I do. It's gonna be forever. You're blowin' my mind. So this might be the last time. I fall in. L-O-V-E forever. I don't need love. If love is gonna hurt me. No need for trust. If trust just keeps me cryin'. I think you can see. You can see that I'm not playin'. I'm not the way I used to be. Understand just what I'm sayin'. Things about to change. I won't just give my heart away (give). Cause when I do. It's gonna be forever (it's gonna be). You're blowin' my mind (you're blowin' my mind). So this might be the last time (so this might be). I fall in. L-O-V-E forever (L-O-V-E). I've come a long way. You can say I've learned some lessons. To never wear my heart upon my sleeve. And always keep on guessin'. But it's hard not to be naive. Cause you're sayin' all the right things. And I won't fall for words. So this time you gotta show me. Things about to change (oh wooh oh). I won't just give my heart away. Cause when I do (cause when I do). It's gonna be forever (fooorever). You're blowin' my mind. So this might be the last time (laaast time). I fall in. L-O-V-E forever. Oh. Things about to change (things about to change). I won't just give my heart away (oooh oh). Cause when I do. It's gonna be forever (forever). You're blowin' my mind. So this might be the last time (this might be). I fall in. L-O-V-E forever. Understand that I (understand that I). I don't know what to do (don't know what to do). It's happening again (Aaahh ah). I got that old feelin' again. But before I give in. Joe Budden:. Understand me. Now we both grown. Both done with the practice round. Watch me prove to be different from your average clown. It's safe, go ahead baby put the baggage down. I ain't tryin' to bend you over. Just tryin' to win you over. Take out, chin-chin' on the sofa. Relax a little. Maybe then get closer. Feel like I feel. Relate to joe beasy. You make being in L-O-V-E so easy. Pushin' me up some. Like fargo easy. Ma, don't believe me. Trust and come see about it. We one the same page babygirl. We about it. Enough with the talk game boo. Let me be about it. Things about to change. I won't just give my heart away. Cause when I do (it's gonna be). It's gonna be forever. You're blowin' my mind (you're blowin' my mind). So this might be the last time (oh wooh oh). I fall in. L-O-V-E forever (L-O-V-E). Things about to change (things about to change). I won't just give my heart away. Cause when I do. It's gonna be forever (na na na na na na na). You're blowin 'my mind. So this might be the last time (oooh ouuh). I fall in. L-O-V-E forever (L-O-V-E forever). Oh wooh oh.... You're blowin' my mind so this might be.... L-O-V-E forever. Oh wooh oh.... You're blowin' my mind so this might be.... L-O-V-E forever. Oh wooh oh"
who's gonna ride,"[Intro:]. Christina Milian. Cool & Dre. Three 6 Mafia. What's going down?. Yeah! (Yeah). [Verse 1:]. I ain't the one to cuss but fuck ya. Way before you went and copped that truck (I still loved you). When your ass got laid off work (I was there for ya). I should've listened to my ladies, when they told me. ""Girl, he ain't nothing but a:."". You ain't nothing but, a busta. Still I find it so hard to believe (That I touched ya). You should've spent more time doing me (But I loved ya). Tell me was it worth sleepin' round with them girls. What you supposed to be? Exactly! You's a b (Biatch). So quit tryna be something' you wanted to be ya whole life, but please. Be easy, cause it's plain to see. Like them haters and divas that can't add up to me boy. [Bridge:]. So, let me set the scene boy. Damn right, take a look at me boy. Damn right, hope you like what you see boy. Don't let the door hit you on yo ass when you leave boy. [Hook:]. tell me.... Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Now that i'm gone. Tell me who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Now that i'm gone. [Verse 2:]. You trifling', skeezers, you know who you are. On the road to riches couple them superstars. Every hotel you visit, come out lookin' scarred. Look theres goes another hoe, seen her in a video. Pages in a magazine, she swear she look as bad as me (No, no). And til this day still cant believe (No, no). But I guess that's how you wanna be, go 'head that's alright with me. [Bridge:]. So, let me set the scene boy. Damn right, take a look at me boy. Damn right, hope you like what you see boy. Don't let the door hit you on yo ass when you leave boy. [Hook:]. tell me.... Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Now that i'm gone. Tell me who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Now that i'm gone. [Juicy J:]. Juciy J i'm tryna sweat these women. I'm layin' down this pimpin'. If you don't want her playa give her up I'm takin'. I ain't with no fakin', these games I don't be playin'. I got 12 inches long as ding dong, I'm layin'. [DJ Paul:]. DJ Paul, this the truth, 110 approval. I ride for you girl just be there to pour my Ramen Noodles. That's all I ask Christina, I never been that greedy. I come from the slums of the M, it don't take much to please me. [Hook:]. tell me.... Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Now that i'm gone. Tell me who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Who's gonna ri-i-i-ide?. Now that i'm gone"
get away,"Christina Milian Guest Artists: Ja Rule Album: Christina Milian Track-. Intro: 7Arurelius. Baby. Ya know. I been thinkinâ€™ about you. And I been thinkinâ€™. We should get together. But I know you got somebody. And I do too. But I got 1 questionâ€¦. Can ya get away?. Chorus: Christina Milian & Ja Rule. I been lookinâ€™ to get away from him. I been lookinâ€™ to get away from her. Ohâ€™ we gots to find away, baby. I been lookinâ€™ to get away. Since I found you. Verse1: Christina Milian. Say. Whatever it is you need to say. Cuz Iâ€™m thinkinâ€™ â€˜bout headinâ€™ my way. This relationship is gettingâ€™ crazy. Lately, lately, lately. I, been feelinâ€™ this way from back when. Now itâ€™s time I turned you in. Maybe now baby we can be friends. Baby, baby, baby. Chorus: Christina Milian & Ja Rule. I been lookinâ€™ to get away from him. I been lookinâ€™ to get away from her. Ohâ€™ we gots to find away, baby. I been lookinâ€™ to get away. Since I found you. I been lookinâ€™ to get away from her. I been lookinâ€™ to get away from him. Ohâ€™ we gots to find away, baby. I been lookinâ€™ to get away. Since I found you. Bridge: Ja Rule. Can ya get away?. Get out tonight. Met me up at the club momma. Can ya get away?. Get out tonight. Cuz Iâ€™m free, baby. Can ya get away?. Get out tonight. Meet me up at the club momma. Can ya get away?. Get out tonight. Cuz Iâ€™m free, baby. Verse2: Christina Milian & Ja Rule. Well what about my career, my man, my life. Baby I give you me, myself, and I and if you can get near me, thereâ€™ll. be no more pain love. Well came on boy and love me, love me, love me. The more things change. I know, I know men play games. All I wanna know, are you the same. Take a chance girl and love me, love me, love me. Chorus: Christina Milian & Ja Rule. I been lookinâ€™ to get away from him. I been lookinâ€™ to get away from her. Ohâ€™ we gots to find away, baby. I been lookinâ€™ to get away. Since I found you. I been lookinâ€™ to get away from her. I been lookinâ€™ to get away from him. Ohâ€™ we gots to find away, baby. I been lookinâ€™ to get away. Since I found you. Bridge: Ja Rule. Can ya get away?. Get out tonight. Meet me up at the club momma. Can ya get away?. Get out tonight. Cuz Iâ€™m free, baby. Can ya get away?. Get out tonight. Met me up at the club momma. Can ya get away?. Get out tonight. Cuz Iâ€™m free, baby. Verse3: Christina Milian Ja Rule. Iâ€™m not ya man. So Iâ€™m feelinâ€™ like a one night stand. I be convenient for the both. I know you feel me. Well come on letâ€™s do this. No thought to it. Letâ€™s give our love a chance. Cuz you lovinâ€™ me. Kiss hug and love wit me. Iâ€™m trynna get away. You canâ€™t get enough of me. Baby girl I just wanna be free. Well come on boy and love me, love me, love me. . . Chorus: Christina Milian & Ja Rule. I been lookinâ€™ to get away from him. I been lookinâ€™ to get away from her. Ohâ€™ we gots to find away, baby. I been lookinâ€™ to get away. Since I found you. I been lookinâ€™ to get away from her. I been lookinâ€™ to get away from him. Ohâ€™ we gots to find away, baby. I been lookinâ€™ to get away. Since I found you. Bridge: Ja Rule. Can ya get away? (oh). Get out tonight. Meet me up at the club momma (oh yeah). Can ya get away? (oh yeah yeah). Get out tonight. Cuz Iâ€™m free, baby. Can ya get away? (ah). Get out tonight. Met me up at the club momma (oh). Can ya get away? (oh yeah). Get out tonight. Cuz Iâ€™m free, baby (baby). Outro: 7Arurelius. Ah. There it is. Christina Milian, Ja Rule. Murder Inc.."
a girl like me,"Christina Milian Guest Artists: Jermaine Dupri Album-Christina Milian Track-. Intro:. You know like I know you ain't never ever met nobody like me. You know like I know you ain't never ever met nobody like me. Chorus:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. Verse1:. I might wake you up in the morning and cook for you. If you having problem with. a song I'll write a hook for you. 11:30 at night, I ain't gonna look for you,. look you cause I know your coming home with me I will never stress you or make. you feel misled. If you wanna go to the movies I'll flip it instead. You don't. pay me, I get this with my bread my bread. Cause you know my money ain't a. thang, a thang.. Chorus 2x:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. . Verse2:. If you trying to be out to the party I'll let you go. If you want be out with. somebody that's when I show. You do as you please cause baby that's how you. know that. There's no other place that I'd rather go. I ain't trying to be. fussin' and fightin' up on yo' back. Anytime you need me you know that I'm. getting yo' back. Ain't no one like me I want you to know that, know that I. ain't changing nothing cause it's like that, like that.. Bridge:. I know you're used to lovers. That treat you like your mother. So I know it's. hard to understand when I say I'm your girl but I'm like your man. No matter if. it's sweet talk or street talk I'm right here by your side. And soon you'll. come to see. How it is to be down with a chick like me.. Chorus:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. Jermaine Dupri Rap:. You ain't never gotta worry about me shakin' the spot or even think about. another chick takin' ya spot. I love it when you come around shuttin' shot. down. Lookin' good statin' my SUV.. You know how long I been waitin' for someone with they mind right. Find they. like to kick it with this homey in the limelight. Don't play uh uh keep a *****. havin' fun. All she ever think about is me.. Christina I ain't never seen nobody do it like you. That's why I'm out here. tryin' to give the whole world to you. No matter what it is I gotta get it.. Hers and his cause baby you're the girl of my dreams.. At first I didn't understand what I was dealin' with. A real really fly. relationship I was killin' it but now I never felt nothin' like I'm feelin'. this. And all I ever talk about is getting' that ring.. Chorus4x:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. . . ."
i need more,Verse 1:. I can no longer see myself being the girl for you. You've done so much to bring me down. When I think about you. How you treated me. I no longer need to try and be perfect for you. Cause now I see. I'm just something to throw around. You were never down just misleading me. Hook:. I need more. Than what your givin' what your givin'. I cant take no more of being second in line in your eyes. Heard it all before. Time to even the score. It'll be a cold day in hell before you see your girl shed another tear. Boy you better hear me. Verse 2:. Friends is the phase you used. To describe our relationship. It was best for you. So when the other girls would come around. You would have an out to do the do. How I found in me. The strength to say the hell with you. And let it be. No more will I be sick and down. Or thinkin' bout lovin you. Bridge:. I cant deny I miss you (cant deny i do). And I cant deny I wish you (wish you only knew). How to treat a girl. Who'd giv eher whole world to you. But I understand you now. You'll never appreciate somebody like me
between me and you,"Ja Rule Guest Artists: Christina Milian Album: Rule 3:36 Track-. Intro:. Murder Inc. shit. Uh...uh, uh, uh. Hook: Christina Milian & Ja Rule. Every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you (and you). Cuz every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you, baby. Verse1: Ja Rule. Yo. Now when I first met her all I thought was â€˜tho-tha-thong"". Like, â€˜lose the lame, we can get our freakinâ€™ onâ€™. Baby know the game. Slip away. Slide me yo' number. It's the last day of spring, see you first day this summer. I'ma bad mutha; shut yo' mouf!. Pull the drop out. And creep at a low speed. His homey probably know me. I push the pedal. Thoughts of your stilleto. Way up in the air like I think he's here. Cuz see, every time that I'm alone with you (with you). Homey be checkinâ€™ up on you (on you). Huh, but if that nigga only knew (only knew). You got a lotta freak in you, baby. Well now it's startinâ€™ to rain. I pop the roof and the champagne. How Jay said? ""Money Ain't a Thing"". It's been close a few. Some, even impossible. But, it's been between me and you, baby. Hook: Christina Milian & Ja Rule. Every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you (and you). Cuz every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you, baby. Verse2: [Ja Rule]. Girl it's on again. Every year - we hummer 'em in. Beaches, houses, hoâ€™s, foes, friends. And when the day ends. That's when it all begins. You wit him?. Here's my room key. Holla at me.. While you thinka-think I'ma hit it up. Then look at the nigga, you thinkinâ€™ you love?. C'mon love. We could go there, me and you. Creep off all night. If you love it, in the morninâ€™, awake with new light. If you lookinâ€™ like I ain't gonna handle his. Let me handle my biz. It is what it is. Nigga livinâ€™ his life, and that's my bitch. You know I gotta wife. Let's keep this thing tight, baby.. . Hook: Christina Milian & Ja Rule. Every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you (and you). Cuz every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you, baby. Verse3: Ja Rule & Christina Milian. Don't let the word get out (shhh), baby. This is - strictly between me and you, baby. If they - knew we were doinâ€™. What we were doinâ€™. It'd probably ruin. Our creep away summer in Cancun'n. And I, love, the way we get away. Throw away a whole day. Turn off the pagers and phones. We in the zone like. ""Fuck life, we live life, this is our life, live your life."". Cuz see, every time that I'm alone with you (with you). Shorty be checkinâ€™ up on you (on you). But if baby girl only knew (only knew). You got a lot of freak in you, baby. Did I ever tell you. My man love what you do. That little thing with yo' tongue. You the best, who knew?. It's been close a few. At times even impossible. But, it's been between me and you, baby.. . Hook: Christina Milian & Ja Rule. Every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you (and you). Cuz every little thing that we do (that we do). Should be between me and you (me and you). The freaky things that we do (that we do). Let's keep between me and you, baby. (That we do). (Me and you). (That we do). (Me and you). (That we do). (Me and you). (That we do). (Me and you)."
spending time,"Christina Milian Guest Artists: Charli â€˜Chuckâ€™ Baltimore Album: Christina. Milian Track-. Intro: Irv Gotti. Hehehe. Christina Milian. Chuck B. Moore. Murda Inc.. Come on. Hook: Christina Milian. Spending time with you (yeah, yeah, yeah). Makes me feel real good (uh, uh, uh). All my days with you. Makes me say ooh, ooh, ooh, ooohh (yeah, yeah, yeah). Verse1: Christina Milian. Now darlinâ€™ when I look at you. It always makes me feel real good. And I know I kindda fell for you. Like I never thought I would (never thought I would). And baby when I think of you. It always brightens up my smile (my smile). So wonâ€™t you come on over boy and just stay with me for a while. Iâ€™d love a night. Hook: Christina Milian. Spending time with you (yeah, yeah, yeah). Makes me feel real good (uh, uh, uh). All my days with you. Makes me say ooh, ooh, ooh, ooohh (yeah, yeah, yeah). Verse2: Christina Milian. Now baby when Iâ€™m feelinâ€™ down itâ€™s always you that makeâ€™s me right. It seems like youâ€™re the only one that satisfy my appetite. And even when itâ€™s pourinâ€™ rain I canâ€™t wait to see your face (see your. face). Because you bring my sunshine back and you just canâ€™t be replaced. Iâ€™d love a night. Hook: Christina Milian. Spending time with you (yeah, yeah, yeah). Makes me feel real good (uh, uh, uh). All my days with you. Makes me say ooh, ooh, ooh, ooohh (yeah, yeah, yeah). Rap: Charli â€˜Chuckâ€™ Balitmoe. Uh huh. Now listen. If I spend my days with you. Huh, is it timinâ€™ for me. Or are you genius. Cuz I spend my nights with you. Only if you my man. And not a one night stand. I got plans for lovinâ€™ you. Iâ€™ll follow ya lead. Cuz you all I need. So easy. With that thug in you. Take it slow we gonâ€™ pace the flow. I know ya thinkinâ€™ devilish (uh huh). Cuz that girl roâ€™ 187ish (Murda). My life style. Not my wife style. Boy, I only hold mikes on the TV (right). Hold hands when you need me. Believe me. See be. Always on guard. But timinâ€™ makes me love her. G-yeah. So put ya exâ€™s. In check. They exit. Iâ€™m next. Accept it. My times. And minds imperfected. Chuck. Bridge: Christina Milian. Everyday and every night. I canâ€™t wait to have you by my side. Have you by my side. Have you by my side. Have you by my side. Everyday and every night. I canâ€™t wait to have you by my side. Have you by my side. Have you by my side. Hook2x: Christina Milian. Spending time with you (yeah, yeah, yeah). Makes me feel real good (uh, uh, uh). All my days with you. Makes me say ooh, ooh, ooh, ooohh (yeah, yeah, yeah). Spending time with you (yeah, yeah, yeah). Makes me feel real good (uh, uh, uh). All my days with you. Makes me say ooh, ooh, ooh, ooohh (yeah, yeah, yeah)."
7 days,"[VERSE 1:]. I'm in love with my man but it seems like everyone always asks me. How is it that we can work out. We got the type of ghetto love. We fuss and fight then we make up. I guess that's what it's all about. CUz time and time I tried to leave but. For him I get weak, I just can't let him go. And even though he gets to me. Seven days a week. We just can't get enough. And that's why. [CHORUS:]. On Monday we'll be breaking up. On Tuesday we'll be making up. Wednesday we'll be making love. On Thursday it just sleep all day. On Friday I give you room to play. Saturday, Sunday I just can't stay away. [VERSE 2:]. I just can't spend a day without him, sometimes my girls trip about it. But I don't care what they have to say. See, he don't have to buy me roses. He loves me and knows how to show it. He turns me on in every way. Day by day it seems to be that for him I get weak. I just can't let him go. And it's not that hard to see that. Seven days a week. We just can't get enough. And that's why. [CHORUS]. It's so hard for everyone to see I love him and he loves me. Seven days a week. I'm so down for him and. He's so down for me and. That's how we're gonna be. (On Sunday - Monday - Tuesday - Wednesday - Thurdsay - Friday - Saturday). It's gonna be; yeah. [REPEAT CHORUS 3x]"
a girl like me,"Christina Milian Guest Artists: Jermaine Dupri Album-Christina Milian Track-. Intro:. You know like I know you ain't never ever met nobody like me. You know like I know you ain't never ever met nobody like me. Chorus:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. Verse1:. I might wake you up in the morning and cook for you. If you having problem with. a song I'll write a hook for you. 11:30 at night, I ain't gonna look for you,. look you cause I know your coming home with me I will never stress you or make. you feel misled. If you wanna go to the movies I'll flip it instead. You don't. pay me, I get this with my bread my bread. Cause you know my money ain't a. thang, a thang.. Chorus 2x:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. . Verse2:. If you trying to be out to the party I'll let you go. If you want be out with. somebody that's when I show. You do as you please cause baby that's how you. know that. There's no other place that I'd rather go. I ain't trying to be. fussin' and fightin' up on yo' back. Anytime you need me you know that I'm. getting yo' back. Ain't no one like me I want you to know that, know that I. ain't changing nothing cause it's like that, like that.. Bridge:. I know you're used to lovers. That treat you like your mother. So I know it's. hard to understand when I say I'm your girl but I'm like your man. No matter if. it's sweet talk or street talk I'm right here by your side. And soon you'll. come to see. How it is to be down with a chick like me.. Chorus:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. Jermaine Dupri Rap:. You ain't never gotta worry about me shakin' the spot or even think about. another chick takin' ya spot. I love it when you come around shuttin' shot. down. Lookin' good statin' my SUV.. You know how long I been waitin' for someone with they mind right. Find they. like to kick it with this homey in the limelight. Don't play uh uh keep a *****. havin' fun. All she ever think about is me.. Christina I ain't never seen nobody do it like you. That's why I'm out here. tryin' to give the whole world to you. No matter what it is I gotta get it.. Hers and his cause baby you're the girl of my dreams.. At first I didn't understand what I was dealin' with. A real really fly. relationship I was killin' it but now I never felt nothin' like I'm feelin'. this. And all I ever talk about is getting' that ring.. Chorus4x:. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. You never met a girl like me. I ain't gonna sweat other places you be. Who you run with who you having fun with. That's how it is when you got a down little chick. on ya team.. . . ."
ain't no reason,Tell me have you ever felt. Like u start fallin' down. but the sun is gonna shine again. Tell me have you ever felt. Like you've been left alone. but u know deep down your wrong. Tell me have you ever felt. A little unsure but then again secure. Tell me have you ever felt. Like you've been left alone. but you know deep down your wrong. Ain't no reason to.. Ain't no reason to (no no no). Have you ever felt. Like givin' up but you know you love him way too much. Oh have you ever/ever felt. Like you cant lift up your head. but you know if you cant/you cant see your man. Oh have you ever/ever felt. Oh I wonder have you ever felt. Ain't no reason to (no no no). Ain't no reason to (no no no). Ain't no reason to (no no no). Ain't no reason to (no no no). Somethin' Somethin'. Hey. Somethin' goin' down. Hey yea yea. Ain't no reason to (no no no). Ain't no reason to (no no no). Ain't no reason to (no no no). Ain't no reason to (no no no). Ain't no reason to (no no no). Ain't no reason to (no no no)
am to pm,"Everybody that wanna get down and hear the sound and ya bump thebeat,. 365 days a year 24 a day 7 days a week,. Now when you drivin in your four by four and ya turn this up onyour stero,. With a nine to day non stop and play and u kno u still want moreso,. Find a hunny thas standing by the wall,. All the girls get the guys on the floor,. From the front to the back lets go,. Hear this. Woo!. Somebody hit the lights,. so we can rock it day and night,. People gettin down thas right,. From am to pm,. Everybody lookin like stars,. All the chicks and the fellas in the bars,. All a yall bumpin this in ya cars,. From am to pm,. Everybody in the club keep come on bobbin ya head now to thissong,. Ya got the beads and braids and ya body shakes and ya doin it allnight long,. Any time or place any place or time no we dont need no sleep,. 365 days a year 24 a day 7 days a week so,. Find a hunny thas standin by the wall,. All the girls get the guys on the floor,. From the front to the back lets go,. Hear this. Woo!. Chorus~Somebody hit the lights,. so we can rock it day and night,. People gettin down thas right,. From am to pm,. Everybody lookin like stars,. All the chicks and the fellas in the bars,. All a yall bumpin this in ya cars,. From am to pm,. (x2). From the front to back come and bob ya head yeah,. 365 days a year 24 a day yeah,. No we dont need no sleep,. All night we rock that beat,. So you kno what to do,. Just make your move and make it move. Chorus (x2). From AM to PM."
babe mix,"Round round baby round round. Spend the night on me. I don't need no man, got my kids for free. Voolai Voo Cooshe` Avec Mwah Siswa. Voolai Voo Cooshe` Avec Mwah. Remember the night on the street, Moulin Rouge. In our family portrait. We look really happy. Let's play pretend, act like it comes naturally. What took you so long. What took you all night. What took you forever to see I'm right. Every girl wants you to be her man. But I'll wait right here 'til its my turn. I'm not the kinda girl who gives up just like that. Tell me what do you think you see. You're standing in your corner looking out on me. You think you're so predictable"
be what it's gonna be,Baby the other day I was thinking. And wondering what would it be like. If I had you in my life. And baby its something about you. That touches me inside. You make me feel so right. Oh baby you can act if you want. You can try to run away from me. I know I got what you want. Give it time and you’ll see. Its not about what I want. Take all the time that you need. Baby I don’t want to rush. Just let it be what its gonna be. Baby why don’t you just stop playin’. I don’t care how hard you try. You can run but you cant hide. Oh baby I know just what your feelin’. The truth you cant deny. Hopefully one day you’ll realize. You can act if you want. You can try to run away from me. I know I got what you want. Give it time and you’ll see. Its not about what I want. Take all the time that you need. Baby I don’t want to rush. Just let it be what its gonna be. I see your trying to keep your cool. But your making yourself look like a fool. No matter what you do (I know you hate this but). Baby you cant fight the truth. The truth is so good that were meant to be baby. This is destine its gonna happen. You might as well give in and stop playing with love. You need to stop what your doing cant you see I’m hurting. Baby I’mma give it some time. You can act if you want. You can try to run away from me. I know I got what you want. Give it time and you’ll see. Its not about what I want. Take all the time that you need. Baby I don’t want to rush. Just let it be what its gonna be
believer,Life Is What You Make It. At least that's what they say. Well I think im gonna make it. Fulfill my dreams one day. I feel this fire growing deep inside of me. Im so inspired knowing that its my destiny. I breathe like a champion. I dream im a champion. I see im a champion. Its meant to be. My wills getting stronger. I cant wait any longer. Im singing a song that's inside of me. Cuz im a believer. I know that I can make it. No matter what they say. So im a believer. The Future is Now. It starts today. I keep my head up. Everyday im waiting. Trying to find the patients. So close I can taste it..But sometimes its so hard. But imma keep on pushing. And Imma keep on fighting. And imma keep on trying because I come to far. I breathe like a champion. I dream im a champion. I see im a champion. Its meant to be. My wills getting stronger. I cant wait any longer. I'm singing a song that's inside of me. Cuz im a believer. I know that I can make it. No matter what they say. So im a believer. The Future is Now. It starts today. The Future is now ..It Starts Today. By Cayo Corrêa - www.cayocorrea.com.br/www.cayocorrea.com/www.christinaguilera.com.br
